248.370	45.597	1.109	0.815	0.309	0.312	0.000	0	1	NOMT_GPS  
248.366	40.016	-0.568	1.496	0.383	0.355	0.000	0	1	MPUT_GPS  
248.365	35.215	-1.005	2.413	0.870	1.030	-0.030	0	1	FLAG_GPS  
268.719	-79.627	-9.569	11.728	0.456	0.129	0.000	0	1	W06A_GPS  
248.351	35.202	-1.560	2.348	0.804	0.811	0.000	0	1	FLAG_GPS  
248.349	39.597	-0.361	1.379	0.986	0.974	0.000	0	1	P109_GPS  
248.343	35.177	-1.403	1.275	0.657	0.507	0.000	0	1	AZFL_GPS  
268.743	42.104	0.749	0.647	0.626	0.594	0.000	0	1	IAAN_GPS  
248.334	41.046	-1.163	0.507	0.632	0.611	0.000	0	1	MOUT_GPS  
268.749	47.303	1.411	-0.328	1.092	0.936	0.000	0	1	SLVB_GPS  
248.321	45.232	0.708	1.910	0.367	0.381	-0.052	0	1	H146_GPS  
268.775	43.778	0.250	1.665	0.510	0.472	0.000	0	1	LCRS_GPS  
268.784	37.455	1.074	0.394	1.324	1.168	0.000	0	1	MOB8_GPS  
268.791	40.833	1.029	0.814	0.648	0.677	0.000	0	1	IAWB_GPS  
268.792	39.348	0.718	0.582	0.721	0.556	0.000	0	1	MOBG_GPS  
248.283	40.752	-0.927	1.606	0.670	0.530	0.000	0	1	1S2E_GPS  
248.277	40.772	-0.460	1.284	0.407	0.398	0.000	0	1	P088_GPS  
268.809	41.175	0.997	0.649	0.672	0.547	0.000	0	1	IAWO_GPS  
248.265	42.827	-1.026	0.091	0.410	0.394	0.000	0	1	P683_GPS  
268.817	32.400	0.064	0.569	0.519	0.474	0.000	0	1	TALL_GPS  
268.820	30.407	-0.102	1.658	0.434	0.363	0.000	0	1	1LSU_GPS  
248.254	39.744	-0.373	2.608	1.010	0.670	0.000	0	1	FOOT_GPS  
248.249	40.435	-2.143	0.893	0.427	0.400	0.000	0	1	P117_GPS  
268.839	38.815	0.686	0.980	0.740	0.610	0.000	0	1	MOWR_GPS  
248.219	41.583	-0.703	1.202	0.446	0.418	0.000	0	1	P126_GPS  
248.217	45.693	0.952	1.237	0.374	0.387	0.003	0	1	F145_GPS  
248.216	43.820	-1.478	-0.406	0.392	0.390	0.000	0	1	IDBY_GPS  
248.212	42.541	-1.284	0.938	0.552	0.592	0.118	0	1	GRCE_GPS  
248.211	45.218	0.741	1.236	0.471	0.402	0.000	0	1	P719_GPS  
248.206	34.863	-1.745	1.509	0.650	0.553	0.000	0	1	SEDO_GPS  
248.195	43.836	-2.205	0.009	0.387	0.339	-0.044	0	1	U11D_GPS  
248.192	26.621	-34.735	29.785	1.100	0.800	0.000	0	1	CONC_GPS  
