name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"ALPF_fault_1                                                        ",166.139,-45.637,166.54,-45.37,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_2                                                        ",166.54,-45.37,166.867,-45.105,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_3                                                        ",166.867,-45.105,167.36,-44.805,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_4                                                        ",167.36,-44.805,167.78,-44.56,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_5                                                        ",167.78,-44.56,168.085,-44.39,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-26,10.5,0,0.6,1.4,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_6                                                        ",168.085,-44.39,168.718,-44.067,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-26,9,0,1.5,0.8,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ALPF_fault_7                                                        ",168.718,-44.067,168.865,-44,80,100,0,0,0,0,0,0,0,0,25,5,0,1,0,-28,6,0,2.2,1.2,0,0,1,0,0,5,0,0,0,0,1,0,0,
"ANDE_close                                                          ",284.16,10.751,285.428,11.756,45,100,0,0,0,0,0,0,0,0,14,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0,
"AN_Iran_fault_1                                                     ",54.737,32.554,54.713,32.486,95,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AN_Iran_fault_2                                                     ",54.713,32.486,54.692,32.288,95,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,3,1,0,1,0,0,5,0,0,0,0,1,0,0,
"AN_Iran_fault_3                                                     ",54.692,32.288,54.802,31.997,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AN_Iran_fault_4                                                     ",54.802,31.997,55.025,31.608,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"AN_Iran_fault_5                                                     ",55.025,31.608,55.148,31.241,85,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
