lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
268.719,-79.627,0,0,"W06A_GPS  ",-9.569,11.728,0.456,0.129,1,0,1,0,0,0,
248.351,35.202,0,0,"FLAG_GPS  ",-1.56,2.348,0.804,0.811,1,0,1,0,0,0,
248.349,39.597,0,0,"P109_GPS  ",-0.361,1.379,0.986,0.974,1,0,1,0,0,0,
248.343,35.177,0,0,"AZFL_GPS  ",-1.403,1.275,0.657,0.507,1,0,1,0,0,0,
268.743,42.104,0,0,"IAAN_GPS  ",0.749,0.647,0.626,0.594,1,0,1,0,0,0,
248.334,41.046,0,0,"MOUT_GPS  ",-1.163,0.507,0.632,0.611,1,0,1,0,0,0,
268.749,47.303,0,0,"SLVB_GPS  ",1.411,-0.328,1.092,0.936,1,0,1,0,0,0,
248.321,45.232,-0.052,0,"H146_GPS  ",0.708,1.91,0.367,0.381,1,0,1,0,0,0,
268.775,43.778,0,0,"LCRS_GPS  ",0.25,1.665,0.51,0.472,1,0,1,0,0,0,
268.784,37.455,0,0,"MOB8_GPS  ",1.074,0.394,1.324,1.168,1,0,1,0,0,0,
268.791,40.833,0,0,"IAWB_GPS  ",1.029,0.814,0.648,0.677,1,0,1,0,0,0,
268.792,39.348,0,0,"MOBG_GPS  ",0.718,0.582,0.721,0.556,1,0,1,0,0,0,
248.283,40.752,0,0,"1S2E_GPS  ",-0.927,1.606,0.67,0.53,1,0,1,0,0,0,
248.277,40.772,0,0,"P088_GPS  ",-0.46,1.284,0.407,0.398,1,0,1,0,0,0,
268.809,41.175,0,0,"IAWO_GPS  ",0.997,0.649,0.672,0.547,1,0,1,0,0,0,
248.265,42.827,0,0,"P683_GPS  ",-1.026,0.091,0.41,0.394,1,0,1,0,0,0,
268.817,32.4,0,0,"TALL_GPS  ",0.064,0.569,0.519,0.474,1,0,1,0,0,0,
268.82,30.407,0,0,"1LSU_GPS  ",-0.102,1.658,0.434,0.363,1,0,1,0,0,0,
248.254,39.744,0,0,"FOOT_GPS  ",-0.373,2.608,1.01,0.67,1,0,1,0,0,0,
248.249,40.435,0,0,"P117_GPS  ",-2.143,0.893,0.427,0.4,1,0,1,0,0,0,
268.839,38.815,0,0,"MOWR_GPS  ",0.686,0.98,0.74,0.61,1,0,1,0,0,0,
248.219,41.583,0,0,"P126_GPS  ",-0.703,1.202,0.446,0.418,1,0,1,0,0,0,
248.217,45.693,0.003,0,"F145_GPS  ",0.952,1.237,0.374,0.387,1,0,1,0,0,0,
248.216,43.82,0,0,"IDBY_GPS  ",-1.478,-0.406,0.392,0.39,1,0,1,0,0,0,
248.212,42.541,0.118,0,"GRCE_GPS  ",-1.284,0.938,0.552,0.592,1,0,1,0,0,0,
248.211,45.218,0,0,"P719_GPS  ",0.741,1.236,0.471,0.402,1,0,1,0,0,0,
248.206,34.863,0,0,"SEDO_GPS  ",-1.745,1.509,0.65,0.553,1,0,1,0,0,0,
248.195,43.836,-0.044,0,"U11D_GPS  ",-2.205,0.009,0.387,0.339,1,0,1,0,0,0,
248.192,26.621,0,0,"CONC_GPS  ",-34.735,29.785,1.1,0.8,1,0,1,0,0,0,
248.191,40.781,0,0,"RBUT_GPS  ",-0.762,1.687,0.29,0.286,1,0,1,0,0,0,
268.89,41.643,0,0,"IATI_GPS  ",0.652,0.717,0.717,0.584,1,0,1,0,0,0,
268.893,30.396,0,0,"SJB1_GPS  ",0.203,-0.074,0.872,0.995,1,0,1,0,0,0,
248.171,34.537,0.076,0,"W002_GPS  ",-1.171,2.267,3.15,3.45,1,0,1,0,0,0,
248.17,44.068,0,0,"P685_GPS  ",-1.161,-0.292,0.468,0.449,1,0,1,0,0,0,
248.163,44.719,0,0,"P707_GPS  ",-0.503,-0.071,0.478,0.474,1,0,1,0,0,0,
248.157,42.215,0.022,0,"BATI_GPS  ",-1.401,1.112,0.412,0.436,1,0,1,0,0,0,
248.148,41.082,0,0,"FRPK_GPS  ",-0.054,1.484,0.72,0.53,1,0,1,0,0,0,
248.147,39.807,0,0,"MONA_GPS  ",-1.57,1.994,0.67,0.58,1,0,1,0,0,0,
268.939,36.96,0,0,"MOVB_GPS  ",0.53,0.746,0.811,0.718,1,0,1,0,0,0,
248.119,42.65,0.116,0,"3926_GPS  ",-2.518,0.494,0.579,0.632,1,0,1,0,0,0,
248.115,-74.546,0,0,"BERP_GPS  ",-0.724,21.371,1.471,1.657,1,0,1,0,0,0,
248.108,33.774,0,0,"AZAH_GPS  ",-1.867,1.867,0.751,0.687,1,0,1,0,0,0,
248.103,39.914,0,0,"GOUT_GPS  ",-3.237,1.833,0.547,0.536,1,0,1,0,0,0,
248.101,41.589,0,0,"P125_GPS  ",-0.645,1.034,0.458,0.406,1,0,1,0,0,0,
248.093,40.621,0,0,"MIDV_GPS  ",-1.075,1.279,0.422,0.371,1,0,1,0,0,0,
248.08,43.306,0,0,"TMIG_GPS  ",-1.678,-0.346,0.721,0.619,1,0,1,0,0,0,
248.08,43.657,-0.015,0,"RGBY_GPS  ",-1.316,0.327,0.381,0.394,1,0,1,0,0,0,
248.077,33.492,0.028,0,"AZSC_GPS  ",-2.732,2.877,0.45,0.45,1,0,1,0,0,0,
269.003,38.46,0,0,"SICE_GPS  ",0.706,1.275,0.623,0.325,1,0,1,0,0,0,
248.072,40.261,0,0,"LMUT_GPS  ",-2.324,1.386,0.331,0.307,1,0,1,0,0,0,
248.071,41.253,0,0,"EOUT_GPS  ",-0.696,1.271,0.186,0.172,1,0,1,0,0,0,
248.07,40.435,0,0,"MRPH_GPS  ",-1.232,1.027,0.67,0.53,1,0,1,0,0,0,
269.017,30.1,0,0,"AWES_GPS  ",0.106,0.576,0.813,0.804,1,0,1,0,0,0,
248.055,39.589,0,0,"P108_GPS  ",-1.755,1.598,0.387,0.37,1,0,1,0,0,0,
248.052,42.391,0.057,0,"DOWN_GPS  ",-1.248,0.453,0.631,0.651,1,0,1,0,0,0,
248.051,40.162,0,0,"0H64_GPS  ",-2.874,2.48,0.67,0.53,1,0,1,0,0,0,
248.05,39.952,0,0,"ELBE_GPS  ",-2.98,2.629,0.72,0.53,1,0,1,0,0,0,
248.049,40.72,0,0,"BLMB_GPS  ",-1.612,1.859,0.58,0.43,1,0,1,0,0,0,
248.048,33.447,0,0,"SA31_GPS  ",-2.134,2.431,0.383,0.394,1,0,1,0,0,0,
248.048,40.786,0,0,"ZLC1_GPS  ",-1.176,1.391,0.436,0.296,1,0,1,0,0,0,
248.043,41.558,0,0,"P124_GPS  ",-0.638,0.573,0.495,0.464,1,0,1,0,0,0,
248.042,44.598,-0.01,0,"E138_GPS  ",-0.596,0.069,0.374,0.387,1,0,1,0,0,0,
248.02,24.51,0,0,"WMAR_GPS  ",-39.742,32.25,1.4,1,1,0,1,0,0,0,
248.019,34.728,0.086,0,"R018_GPS  ",-1.261,2.353,2.55,2.7,1,0,1,0,0,0,
248.011,37.52,0,0,"KODA_GPS  ",-0.997,1.138,0.88,0.681,1,0,1,0,0,0,
248.006,46.589,0,0,"MTDT_GPS  ",1.041,0.95,0.73,0.767,1,0,1,0,0,0,
269.08,32.331,0,0,"VIC9_GPS  ",-1.471,-0.061,0.273,0.252,1,0,1,0,0,0,
247.997,41.757,0,0,"CURV_GPS  ",-1.465,0.092,0.72,0.53,1,0,1,0,0,0,
247.986,40.434,0,0,"P116_GPS  ",-2.075,1.097,0.423,0.412,1,0,1,0,0,0,
269.096,30.314,0,0,"GVMS_GPS  ",0.272,0.65,0.801,0.619,1,0,1,0,0,0,
247.977,40.727,0,0,"MUHA_GPS  ",-2.273,1.754,0.82,0.62,1,0,1,0,0,0,
247.973,40.588,0,0,"FLOR_GPS  ",-2.014,2.794,0.67,0.58,1,0,1,0,0,0,
247.971,55.945,0,0,"C041_GPS  ",1.368,-0.342,0.345,0.502,1,0,1,0,0,0,
247.958,43.482,0,0,"IDBB_GPS  ",-1.788,-0.308,0.553,0.463,1,0,1,0,0,0,
247.953,39.662,0,0,"CAPS_GPS  ",-2.124,2.774,0.77,0.58,1,0,1,0,0,0,
269.13,15.348,0.061,0,"USP__GPS  ",2.201,0.232,0.787,0.775,1,0,1,0,0,0,
247.948,43.519,0,0,"IDIF_GPS  ",-1.698,-0.432,0.38,0.427,1,0,1,0,0,0,
247.936,41.539,0,0,"BAIR_GPS  ",-2.133,1.245,0.82,0.58,1,0,1,0,0,0,
247.936,43.986,0,0,"GBIG_GPS  ",-1.292,-0.275,0.701,0.662,1,0,1,0,0,0,
247.932,43.481,-0.019,0,"I107_GPS  ",-1.625,0.407,0.332,0.339,1,0,1,0,0,0,
269.174,15.011,0.003,0,"JOY__GPS  ",3.979,2.496,0.797,0.778,1,0,1,0,0,0,
247.896,39.762,0,0,"FERN_GPS  ",-2.766,1.768,0.91,0.67,1,0,1,0,0,0,
247.893,45.239,0.049,0,"RBYU_GPS  ",1.227,1.659,0.43,0.453,1,0,1,0,0,0,
247.89,41.111,0,0,"ABRA_GPS  ",-0.905,1.508,0.67,0.53,1,0,1,0,0,0,
