lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
245.011,33.609,P428_PBO,-2.121,0.93,1.79,1.72,1,0,1,
245.285,33.61,P228_PBO,-2.868,1.42,0.8,0.81,1,0,1,
243.39,33.611,MEE1_PBO,-18.266,22.65,0.81,0.83,1,0,1,
243.542,33.612,P526_PBO,-16.39,19.534,0.8,0.82,1,0,1,
243.992,33.612,P260_PBO,-8.992,7.657,1.05,1.07,1,0,1,
242.197,33.618,MASW_PBO,-26.112,29.436,0.85,0.88,1,0,1,
243.32,33.619,CRBT_PBO,-19.062,23.293,0.99,1.06,1,0,1,
242.645,33.62,P530_PBO,-25.484,28.329,1.15,1.24,1,0,1,
243.538,33.62,P288_PBO,-15.698,18.505,0.94,1,1,0,1,
243.589,33.623,P309_PBO,-18.068,19.863,1.43,1.41,1,0,1,
243.84,33.628,P067_PBO,-12.114,13.243,1.28,1.19,1,0,1,
243.152,33.63,P531_PBO,-22.225,26.429,1.05,1.12,1,0,1,
242.914,33.636,RNCH_PBO,-23.507,27.278,1.03,1.07,1,0,1,
243.726,33.639,P285_PBO,-12.678,15.897,1.05,1.08,1,0,1,
244.138,33.64,P276_PBO,-5.159,3.792,1.64,1.66,1,0,1,
243.41,33.646,P063_PBO,-17.397,20.999,0.94,0.95,1,0,1,
242.588,33.648,P709_PBO,-25.666,26.886,0.2,0.2,1,0,1,
244.28,33.664,P175_PBO,-4.176,1.817,0.86,0.88,1,0,1,
244.036,33.677,P259_PBO,-7.076,4.596,1.18,1.38,1,0,1,
244.757,33.681,P432_PBO,-3.575,1.679,1.24,1.06,1,0,1,
243.528,33.684,P576_PBO,-14.991,19.665,0.97,0.97,1,0,1,
243.609,33.688,P576_PBO,-13.052,17.582,0.97,1,1,0,1,
244.365,33.705,ALRT_PBO,-5.858,2.745,0.2,0.3,1,0,1,
242.465,33.709,REDM_PBO,-25.575,26.776,1.12,1.1,1,0,1,
241.706,33.713,P544_PBO,-28.534,30.755,1.02,1.05,1,0,1,
243.288,33.714,S300_PBO,-18.236,22.384,0.96,1,1,0,1,
243.701,33.714,P387_PBO,-12.727,15.788,0.93,0.94,1,0,1,
244.6,33.715,P442_PBO,-2.082,1.145,1.03,0.96,1,0,1,
243.288,33.733,RG11_PBO,-18.36,19.87,0.4,0.3,1,0,1,
243.842,33.74,P232_PBO,-9.384,9.553,0.99,1.02,1,0,1,
244.179,33.741,ALGO_PBO,-6.357,2.849,0.9,1,1,0,1,
242.091,33.748,QCYN_PBO,-26.885,29.95,1.09,1.23,1,0,1,
243.829,33.749,P234_PBO,-8.772,10.324,0.97,0.99,1,0,1,
243.719,33.75,P241_PBO,-11.148,14.008,1.06,1.05,1,0,1,
241.679,33.774,HEBE_PBO,-28.881,29.721,0.587,0.596,1,0,1,
241.628,33.779,P725_PBO,-27.745,29.748,1.12,1.14,1,0,1,
243.223,33.794,P255_PBO,-14.893,23.407,1.03,1.06,1,0,1,
242.768,33.796,P258_PBO,-23.02,25.864,1.17,1.12,1,0,1,
241.669,33.798,CRU1_PBO,-28.521,30.387,0.91,0.94,1,0,1,
243.825,33.81,P256_PBO,-7.445,8.164,1.05,1.05,1,0,1,
241.727,33.824,P676_PBO,-27.564,28.705,0.574,0.6,1,0,1,
244.236,33.834,P268_PBO,-1.9,2.868,1.13,1.13,1,0,1,
242.818,33.836,P107_PBO,-22.655,24.236,0.574,0.557,1,0,1,
242.691,33.837,P243_PBO,-23.408,26.257,0.97,1.07,1,0,1,
242.402,33.847,P275_PBO,-25.267,26.788,0.92,0.96,1,0,1,
242.563,33.857,WLWY_PBO,-24.054,25.669,0.505,0.512,1,0,1,
