lon,lat,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,
79.035,40.503,KALP_GPS,19.822,5.317,4.25,3.72,0,0,1,
79.19,30.33,POKH_GPS,22.973,23.817,1.42,1.02,0,0,1,
79.21,41.2,WUSH_GPS,15.142,6.94,1,1,0,0,1,
79.211,30.486,TUNG_GPS,14.345,20.977,3.33,2.19,0,0,1,
79.214,41.201,WUSO_GPS,16.447,5.668,1.32,1.21,0,0,1,
79.49,30.74,BADR_GPS,21.017,19.434,1.82,1.38,0,0,1,
79.559,30.531,AULI_GPS,21.017,22.635,4.18,2.36,0,0,1,
79.58,35.459,THAI_GPS,18.253,14.081,3.32,3.15,0,0,1,
79.581,35.459,JB55_GPS,14.503,7.756,1.1,1,0,0,1,
79.62,29.638,KTML_GPS,28.305,25.737,4.11,3.04,0,0,1,
79.799,32.427,SQHE_GPS,16.573,9.504,3.38,3.17,0,0,1,
79.8,32.427,JB56_GPS,17.693,10.261,1.2,1,0,0,1,
79.925,37.121,HOTA_GPS,12.498,8.922,1.93,1.61,0,0,1,
79.964,37.098,I087_GPS,14.072,8.565,1.2,1.1,0,0,1,
80.041,29.838,CHAU_GPS,25.076,21.487,2.69,1.62,0,0,1,
80.098,32.509,SHIQ_GPS,18.903,11.199,1.69,1.31,0,0,1,
80.147,28.963,MAHE_GPS,22.84,27.706,2.52,1.52,0,0,1,
80.148,28.963,MAHE_GPS,23.318,28.76,2.45,1.48,0,0,1,
80.15,28.96,MAHE_GPS,26.913,27.307,1,0.6,0,0,1,
80.194,30.359,BURF_GPS,14.514,16.481,17.57,7.69,0,0,1,
80.195,30.061,MUNS_GPS,21.212,31.061,2.5,1.6,0,0,1,
80.238,41.142,AKSU_GPS,19.881,3.282,4.18,3.68,0,0,1,
80.392,40.643,AWAT_GPS,16.608,4.721,2.59,2.21,0,0,1,
80.781,41.379,KARA_GPS,17.599,6.566,1.53,1.13,0,0,1,
80.884,44.12,KORG_GPS,11.517,-2.477,1.43,1.14,0,0,1,
81.325,40.61,ARAL_GPS,16.71,6.301,1.56,1.12,0,0,1,
81.478,36.455,I070_GPS,13.889,7.508,1.3,1.1,0,0,1,
81.574,28.134,NEPA_GPS,27.271,28.518,1.49,1.03,0,0,1,
81.575,28.134,NEPA_GPS,27.888,29.701,1.36,0.97,0,0,1,
81.58,28.13,NEPA_GPS,28.348,29.812,1,0.6,0,0,1,
81.635,28.586,SURK_GPS,24.296,25.833,2.18,1.55,0,0,1,
81.664,36.84,I068_GPS,14.004,5.513,1.3,1.1,0,0,1,
81.826,29.967,SIMI_GPS,23.393,16.159,1.9,1.33,0,0,1,
82.446,41.79,KEZI_GPS,17.655,2.856,1.61,1.2,0,0,1,
82.573,28.063,RANJ_GPS,27.191,26.603,2.75,1.76,0,0,1,
82.696,37.046,I067_GPS,17.507,6.047,1.7,1.2,0,0,1,
82.993,36.739,I069_GPS,15.109,7.457,1.4,1.1,0,0,1,
83.159,38.257,I065_GPS,19.122,0.763,1.6,1.2,0,0,1,
83.23,54.84,NVSK_GPS,9.081,-6.961,1,1,0,0,1,
83.256,43.397,XYUA_GPS,15.874,-3.559,3.34,3.18,0,0,1,
83.26,43.4,JB47_GPS,14.968,-0.559,1,1,0,0,1,
83.418,27.507,BHAI_GPS,36.016,29.052,2.52,1.67,0,0,1,
83.42,27.51,BHAI_GPS,27.206,28.754,1.1,0.6,0,0,1,
83.49,49.54,SLP4_GPS,8.759,-5.341,1.3,1.2,0,0,1,
83.553,27.874,TANS_GPS,27.178,24.822,2.7,1.76,0,0,1,
83.554,27.874,TANS_GPS,27.397,25.827,2.72,1.76,0,0,1,
83.61,39.015,I064_GPS,15.73,4.079,1.3,1.1,0,0,1,
83.717,28.78,JOMO_GPS,26.529,19.013,1.95,1.46,0,0,1,
83.718,28.781,JOMO_GPS,27.192,20.073,1.88,1.43,0,0,1,
83.811,37.594,I066_GPS,15.548,3.887,1.5,1.1,0,0,1,
83.977,28.198,POKH_GPS,25.978,25.312,2.28,1.59,0,0,1,
83.978,28.199,POKH_GPS,26.798,26.383,2.28,1.58,0,0,1,
84.129,32.297,J043_GPS,22.739,12.599,1.5,1.1,0,0,1,
84.294,43.268,NANA_GPS,12.549,0.904,1.6,1.27,0,0,1,
84.337,40.217,I063_GPS,13.495,4.007,1.1,1,0,0,1,
84.429,27.677,BHAR_GPS,28.535,28.264,2.74,1.74,0,0,1,
84.43,27.678,BHAR_GPS,28.835,29.32,2.68,1.71,0,0,1,
84.77,50.94,USTK_GPS,8.521,-7.138,1.5,1.3,0,0,1,
84.946,44.385,KUYT_GPS,13.242,2.141,1.69,1.25,0,0,1,
84.98,27.16,SIMR_GPS,30.813,27.58,1.3,0.7,0,0,1,
84.981,27.162,SIMA_GPS,28.984,30.424,2.45,1.45,0,0,1,
84.982,27.163,SIMA_GPS,29.37,31.463,2.36,1.4,0,0,1,
85.11,27.61,DAMA_GPS,30.887,28.79,1.1,0.7,0,0,1,
85.139,31.019,TCOQ_GPS,23.006,14.589,3.91,3.37,0,0,1,
85.213,29.441,SAGA_GPS,22.393,17.491,1.47,1.08,0,0,1,
85.214,29.441,SAGA_GPS,22.835,18.642,1.32,1.01,0,0,1,
85.28,27.693,AIRP_GPS,28.021,27.115,3.1,1.89,0,0,1,
85.44,50.15,KAIT_GPS,9.455,-7.182,1.4,1.4,0,0,1,
85.52,27.69,NAGA_GPS,30.293,26.365,0.56,0.38,0,0,1,
85.521,27.693,NAGA_GPS,27.382,27.785,0.78,0.64,0,0,1,
