lon,lat,east_vel,north_vel,up_vel,east_sig,north_sig,up_sig,corr,other,flag,east_adjust,north_adjust,up_adjust,name,block_label,other1
31.3095,40.7903,-13.7512,-0.6825,3.0873,0.9611,2.0,0.9633,0.0,0.0,1,0,0,0,name,0,
35.3746,40.5197,-22.3526,6.5343,-5.634,0.5694,2.0,0.5561,0.0,0.0,1,0,0,0,name,0,
32.4902,41.0248,-2.6281,0.2589,-1.9589,0.6665,2.0,0.6541,0.0,0.0,1,0,0,0,name,0,
29.029,41.0068,0.9197,0.7797,12.007,0.6674,2.0,0.5883,0.0,0.0,1,0,0,0,name,0,
30.0115,36.5964,-13.7265,-8.1751,-0.0239,0.983,2.0,0.9759,0.0,0.0,1,0,0,0,name,0,
30.8047,39.6629,-23.9573,-1.1073,0.2605,0.4955,2.0,0.4422,0.0,0.0,1,0,0,0,name,0,
26.6855,39.3021,-18.326,-11.497,2.3833,0.8656,2.0,0.8563,0.0,0.0,1,0,0,0,name,0,
28.5964,41.1601,-3.2372,1.0057,-2.4667,0.6666,2.0,0.5777,0.0,0.0,1,0,0,0,name,0,
39.7912,39.6088,-13.5462,6.9764,2.5535,0.6465,2.0,0.6057,0.0,0.0,1,0,0,0,name,0,
27.2714,40.8715,-5.3661,-3.1553,-9.3987,0.7549,2.0,0.7467,0.0,0.0,1,0,0,0,name,0,
36.0235,40.8805,-14.8432,5.5605,-1.2555,0.7775,2.0,0.6193,0.0,0.0,1,0,0,0,name,0,
32.1387,40.7632,-20.9681,-0.8229,-14.2205,0.9907,2.0,0.8139,0.0,0.0,1,0,0,0,name,0,
36.5373,40.7362,-9.9576,4.7689,6.1863,0.6853,2.0,0.615,0.0,0.0,1,0,0,0,name,0,
38.2138,40.1499,-6.0773,5.7183,-6.2164,0.7762,2.0,0.6997,0.0,0.0,1,0,0,0,name,0,
29.9574,40.9797,-8.1103,-0.4479,-0.6309,0.7855,2.0,0.795,0.0,0.0,1,0,0,0,name,0,
39.4216,39.8072,-14.7893,4.2436,0.8043,0.4945,2.0,0.473,0.0,0.0,1,0,0,0,name,0,
38.9169,39.9696,-4.4979,5.7516,-6.5879,0.6752,2.0,0.636,0.0,0.0,1,0,0,0,name,0,
36.0686,40.8083,-8.1867,5.9514,-1.6511,0.6043,2.0,0.5237,0.0,0.0,1,0,0,0,name,0,
33.4186,41.0519,-7.4604,0.8822,-8.0582,0.7179,2.0,0.726,0.0,0.0,1,0,0,0,name,0,
31.9404,40.2221,-22.1745,-0.9802,0.4726,0.5527,2.0,0.4909,0.0,0.0,1,0,0,0,name,0,
27.1813,40.7272,-8.2647,-3.7004,10.1036,0.8732,2.0,0.8521,0.0,0.0,1,0,0,0,name,0,
35.1222,41.0789,-10.5902,3.3786,-5.157,0.6179,2.0,0.6317,0.0,0.0,1,0,0,0,name,0,
28.3981,40.3664,-18.615,-0.4136,-10.0217,0.7224,2.0,0.6444,0.0,0.0,1,0,0,0,name,0,
33.3015,40.9526,-13.0041,0.6814,5.4328,0.5921,2.0,0.5538,0.0,0.0,1,0,0,0,name,0,
26.7216,41.0699,-0.9684,-1.6026,-9.599,0.8169,2.0,0.7768,0.0,0.0,1,0,0,0,name,0,
37.7812,40.2041,-9.8768,8.0935,7.3975,0.5999,2.0,0.5776,0.0,0.0,1,0,0,0,name,0,
39.8543,39.1578,-16.5827,8.7853,0.1549,0.6684,2.0,0.6081,0.0,0.0,1,0,0,0,name,0,
26.992,40.7993,-4.5293,-3.0248,-20.1553,0.7466,2.0,0.7505,0.0,0.0,1,0,0,0,name,0,
36.7356,40.5829,-15.2177,6.0199,-1.5524,0.5147,2.0,0.4654,0.0,0.0,1,0,0,0,name,0,
27.0551,40.186,-17.9391,-7.1602,-3.5715,0.5881,2.0,0.5554,0.0,0.0,1,0,0,0,name,0,
39.4757,37.9493,-7.5132,14.7307,1.2723,0.6535,2.0,0.5773,0.0,0.0,1,0,0,0,name,0,
31.643,40.1229,-25.9531,0.0143,-0.3188,0.6478,2.0,0.6173,0.0,0.0,1,0,0,0,name,0,
34.2929,41.4848,1.1918,0.4968,5.4982,0.5997,2.0,0.5399,0.0,0.0,1,0,0,0,name,0,
36.4382,40.6821,-14.074,5.5927,0.617,0.6429,2.0,0.5569,0.0,0.0,1,0,0,0,name,0,
34.302,41.0068,-8.2392,2.3951,0.2579,0.6401,2.0,0.5716,0.0,0.0,1,0,0,0,name,0,
39.1242,40.0688,-4.888,3.6816,-1.0255,0.6768,2.0,0.6319,0.0,0.0,1,0,0,0,name,0,
33.3645,38.3641,-19.2114,6.8758,-46.6245,0.839,2.0,0.7478,0.0,0.0,1,0,0,0,name,0,
37.5739,40.3484,-11.5305,7.4187,4.0122,0.6732,2.0,0.6478,0.0,0.0,1,0,0,0,name,0,
37.4296,40.3664,-6.0264,7.4431,7.843,0.6959,2.0,0.667,0.0,0.0,1,0,0,0,name,0,
32.5804,40.8985,-10.0398,-0.0359,-1.3534,0.8226,2.0,0.778,0.0,0.0,1,0,0,0,name,0,
29.9935,41.097,-9.5136,-1.081,-7.0284,0.85,2.0,0.8749,0.0,0.0,1,0,0,0,name,0,
35.1763,40.9617,-10.7833,4.2971,1.1978,0.5412,2.0,0.4846,0.0,0.0,1,0,0,0,name,0,
36.6995,40.7091,-7.8013,4.5577,8.7411,0.5912,2.0,0.5169,0.0,0.0,1,0,0,0,name,0,
38.8898,40.1139,-8.186,3.6124,-2.7592,0.5539,2.0,0.5428,0.0,0.0,1,0,0,0,name,0,
