lons,lats,locking_depth,dip
33.734782,41.045636,15.0,90.0
33.758299,41.049749,15.0,90.0
33.780038,41.051564,15.0,90.0
33.812761,41.055966,15.0,90.0
33.852501,41.059871,15.0,90.0
33.909449,41.063786,15.0,90.0
33.937448,41.066709,15.0,90.0
33.970935,41.078776,15.0,90.0
33.994174,41.08261,15.0,90.0
34.060561,41.086496,15.0,90.0
34.086404,41.089615,15.0,90.0
34.122847,41.096007,15.0,90.0
34.177738,41.096677,15.0,90.0
34.215441,41.100712,15.0,90.0
34.261736,41.103122,15.0,90.0
34.283547,41.104218,15.0,90.0
34.303832,41.103373,15.0,90.0
34.342528,41.105247,15.0,90.0
34.369924,41.105585,15.0,90.0
34.410415,41.096445,15.0,90.0
34.419053,41.096715,15.0,90.0
34.4467,41.096207,15.0,90.0
34.474825,41.096513,15.0,90.0
34.52077,41.095146,15.0,90.0
34.543226,41.096098,15.0,90.0
34.560724,41.095881,15.0,90.0
34.610483,41.094593,15.0,90.0
34.63172,41.094343,15.0,90.0
34.6668,41.092459,15.0,90.0
34.701622,41.093261,15.0,90.0
34.722765,41.09084,15.0,90.0
34.743056,41.089703,15.0,90.0
34.787551,41.10098,15.0,90.0
34.813648,41.097255,15.0,90.0
34.840884,41.095888,15.0,90.0
34.87419,41.092342,15.0,90.0
34.89877,41.088653,15.0,90.0
34.932759,41.087059,15.0,90.0
34.981285,41.088094,15.0,90.0
34.998108,41.086431,15.0,90.0
35.018343,41.086116,15.0,90.0
35.041959,41.085053,15.0,90.0
35.057431,41.08216,15.0,90.0
35.076899,41.0806,15.0,90.0
35.106562,41.080063,15.0,90.0
35.12588,41.07647,15.0,90.0
35.145466,41.079324,15.0,90.0
35.166206,41.079999,15.0,90.0
35.177226,41.080488,15.0,90.0
35.192417,41.08207,15.0,90.0
35.22586,41.111331,15.0,90.0
35.240906,41.110094,15.0,90.0
35.310698,41.100875,15.0,90.0
35.393339,41.087045,15.0,90.0
35.420911,41.058145,15.0,90.0
35.444975,41.050773,15.0,90.0
35.466767,41.046287,15.0,90.0
35.478971,41.041946,15.0,90.0
35.521136,41.034085,15.0,90.0
35.536891,41.032904,15.0,90.0
35.574043,41.025799,15.0,90.0
35.661864,41.017544,15.0,90.0
35.739831,40.987308,15.0,90.0
35.795047,40.968012,15.0,90.0
35.817975,40.95619,15.0,90.0
35.843515,40.947064,15.0,90.0
35.865141,40.937943,15.0,90.0
35.889418,40.929344,15.0,90.0
35.913132,40.918579,15.0,90.0
35.928004,40.924561,15.0,90.0
35.943086,40.91798,15.0,90.0
35.960052,40.912681,15.0,90.0
35.975888,40.905531,15.0,90.0
35.988928,40.898179,15.0,90.0
36.007788,40.890523,15.0,90.0
36.025863,40.882435,15.0,90.0
36.06195,40.889057,15.0,90.0
36.072817,40.885641,15.0,90.0
36.085405,40.879018,15.0,90.0
36.096263,40.876632,15.0,90.0
36.122323,40.867413,15.0,90.0
36.136247,40.863977,15.0,90.0
36.163384,40.86038,15.0,90.0
36.213682,40.82257,15.0,90.0
36.307241,40.783528,15.0,90.0
36.345624,40.748098,15.0,90.0
36.345624,40.758093,15.0,90.0
36.367211,40.703218,15.0,90.0
36.373212,40.736284,15.0,90.0
36.392593,40.692586,15.0,90.0
36.405552,40.690113,15.0,90.0
36.416369,40.685609,15.0,90.0
36.44135,40.681946,15.0,90.0
36.457684,40.676624,15.0,90.0
36.479092,40.670745,15.0,90.0
36.5106,40.660906,15.0,90.0
36.53758,40.653042,15.0,90.0
36.547983,40.651067,15.0,90.0
36.562401,40.646294,15.0,90.0
36.594587,40.637515,15.0,90.0
36.615132,40.632917,15.0,90.0
36.646584,40.624518,15.0,90.0
36.669984,40.619535,15.0,90.0
36.6815,40.612758,15.0,90.0
36.694733,40.608324,15.0,90.0
36.700678,40.605733,15.0,90.0
36.714089,40.599976,15.0,90.0
36.727405,40.59553,15.0,90.0
36.738045,40.59099,15.0,90.0
36.750895,40.587606,15.0,90.0
36.762754,40.582592,15.0,90.0
36.776572,40.579575,15.0,90.0
36.795057,40.573441,15.0,90.0
36.799338,40.572146,15.0,90.0
36.815751,40.5693,15.0,90.0
36.836317,40.566032,15.0,90.0
36.849345,40.566732,15.0,90.0
36.868981,40.57927,15.0,90.0
36.875357,40.575596,15.0,90.0
36.885053,40.567507,15.0,90.0
36.892757,40.561028,15.0,90.0
36.900349,40.55608,15.0,90.0
36.933131,40.525637,15.0,90.0
36.942932,40.518588,15.0,90.0
36.95694,40.505,15.0,90.0
36.975436,40.49269,15.0,90.0
36.989912,40.486068,15.0,90.0
37.002334,40.477262,15.0,90.0
37.016326,40.469832,15.0,90.0
37.041005,40.456105,15.0,90.0
37.044169,40.450694,15.0,90.0
37.063193,40.447883,15.0,90.0
37.079315,40.444558,15.0,90.0
37.095493,40.440064,15.0,90.0
37.115019,40.433819,15.0,90.0
37.132841,40.426623,15.0,90.0
37.15294,40.420652,15.0,90.0
37.171061,40.416187,15.0,90.0
37.194128,40.412223,15.0,90.0
37.212235,40.408396,15.0,90.0
37.233481,40.403289,15.0,90.0
37.253627,40.397093,15.0,90.0
37.274685,40.391703,15.0,90.0
37.31234,40.384951,15.0,90.0
37.402396,40.365464,15.0,90.0
37.432328,40.361412,15.0,90.0
37.451704,40.358184,15.0,90.0
37.51006,40.350325,15.0,90.0
37.56227,40.339269,15.0,90.0
37.580412,40.333159,15.0,90.0
37.616983,40.3245,15.0,90.0
37.678407,40.31307,15.0,90.0
37.686883,40.311239,15.0,90.0
37.705292,40.305874,15.0,90.0
37.728704,40.302035,15.0,90.0
37.7476,40.297916,15.0,90.0
37.769219,40.291915,15.0,90.0
37.786669,40.287948,15.0,90.0
37.801744,40.283273,15.0,90.0
37.822487,40.277834,15.0,90.0
37.841229,40.272969,15.0,90.0
37.853351,40.270408,15.0,90.0
