other1,other2,other3,other4,other5,other6,name,interior_lon,interior_lat,euler_lon,euler_lon_sig,euler_lat,euler_lat_sig,rotation_rate,rotation_rate_sig,rotation_flag,apriori_flag,
0,0,0,0,0,0,"Gunare                  ",292.602,9.943,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"HAST                    ",177.453,-40.343,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"HB_iran                 ",63.045,29.709,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"HISP                    ",290.399,18.319,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"HOPE                    ",173.175,-42.371,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"HSSH                    ",121.057,24.403,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Helendale               ",243.072,34.861,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"Huaihe                  ",115.35,33.388,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"ILOC                    ",120.056,17.435,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"IMP                     ",139.026,36.757,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"INDO_new                ",136.25,-0.98,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"IcyBay                  ",216.967,59.742,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"IdWy                    ",249.041,42.879,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Inca_1                  ",282.775,-12.473,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Inca_2                  ",286.983,-12.249,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"India                   ",76.456,15.794,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Indoburman              ",93.373,22.242,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"InnerThrust             ",239.516,38.741,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Ionian                  ",20.595,37.904,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Issykul                 ",77.231,42.279,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"JuanDeFuca              ",232.729,45.774,244.66,1,33.92,1,-1.513,0.2,0,1,
0,0,0,0,0,0,"Junggar1                ",81.028,46.748,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Junggar2                ",81.225,48.079,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Junggar3                ",84.066,47.73,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Junggar_new_new         ",88.839,45.215,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"KAB_iran                ",55.9,30.91,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Kadjerty                ",75.15,41.011,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Karpenissi              ",23.949,38.859,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Kars                    ",42.639,40.581,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Kermmadec               ",180.823,-33.002,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Kyrgyz                  ",73.266,39.695,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Kyrgyz_add_back         ",72.45,40.817,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"LB_iran                 ",58.885,32.131,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"LW                      ",40.013,-30.596,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"Landers                 ",243.555,34.667,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"LittleVentura01         ",240.764,34.346,0,1,0,1,0,0,0,0,
0,0,0,0,0,0,"LongitudinalValley      ",121.092,22.77,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,"LosBajos                ",298.694,10.138,0,0,0,0,0,0,0,0,
