name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels
Eastern_closure2                                                   ,274.413,-13.347,325.661,58.239,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9195106.996060023,476711.13720379194,-6177091.367157767,-1469911.6282858218,2767528.786851273,-1890641.812614746,5413927.35561361,300.03700000000003,22.445999999999998,291.9276039427524,24.482918511628828,2164022.6429833937,-5375690.260802899,2638808.761938433,2164022.6429833937,-5375690.260802899,7.5,291.9276039427524,24.482918511628828,0,6
Eastern_closure3                                                   ,260.639,5.079,274.413,-13.347,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543769.938901927,-1031626.2366948414,-6257981.745337406,563704.9266288497,476711.13720379194,-6177091.367157767,-1469911.6282858218,267.526,-4.134,267.4453905300213,-4.165204466044696,-283057.43956663803,-6344315.481142149,-462483.5382638577,-283057.43956663803,-6344315.481142149,7.5,267.4453905300213,-4.165204466044696,6,0
GarlockExtensionba                                                 ,244.746,35.814,245.545,35.967,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,74110.57144776394,-2202911.0396816726,-4669994.677561047,3725947.4129835917,-2133448.5009567933,-4691185.865575287,3739722.4669634067,245.1455,35.8905,245.14511570860105,35.89116489791099,-2168216.062580306,-4680668.982123148,3732898.129775045,-2168216.062580306,-4680668.982123148,7.5,245.14511570860105,35.89116489791099,1,7
GarlockExtensionbb                                                 ,245.545,35.967,245.884,36.033,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,0,31430.536367534452,-2133448.5009567933,-4691185.865575287,3739722.4669634067,-2103893.6181093296,-4699791.600563988,3745656.419970475,245.7145,36.0,245.7144293825737,36.00011984094662,-2118677.4368159245,-4695502.934768856,3742700.838942806,-2118677.4368159245,-4695502.934768856,7.5,245.7144293825737,36.000119840946624,1,7
Nevada02aa                                                         ,247.764,42.286,248.03,41.178,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,125037.26876675036,-1782599.4739443774,-4360293.312423723,4284219.042794754,-1793001.5587729083,-4444533.304113295,4192328.7777063358,247.897,41.732,247.89814281675285,41.7321037620515,-1787886.3501147933,-4402623.726432593,4238480.645708437,-1787886.3501147933,-4402623.726432593,5.0,247.89814281675285,41.7321037620515,1,0
Nevada02aba                                                        ,248.03,41.178,248.163,40.625,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,62425.87072594145,-1793001.5587729083,-4444533.304113295,4192328.7777063358,-1797647.3366664979,-4486035.198405775,4145877.9182652403,248.0965,40.9015,248.09677693871015,40.90152582182316,-1795345.9447036432,-4465337.477916283,4169154.063916498,-1795345.9447036432,-4465337.477916283,5.0,248.09677693871015,40.90152582182316,1,0
Nevada02abb                                                        ,248.163,40.625,248.418,40.143,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,-2.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,57736.24183868896,-1797647.3366664979,-4486035.198405775,4145877.9182652403,-1790429.9887203635,-4526263.9125116365,4105075.7497645123,248.2905,40.384,248.2909543922052,40.38407532323426,-1794057.1088851595,-4506195.4807791775,4125519.705513833,-1794057.1088851595,-4506195.4807791775,5.0,248.2909543922052,40.38407532323426,1,0
Nevada02bbbbaab                                                    ,246.435,36.86,246.481,36.879,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4611.76647095473,-2036772.2210765488,-4669760.941981214,3819586.7742095655,-2032516.879032078,-4670233.003747506,3821276.0026823846,246.458,36.8695,246.45799715216648,36.86950223302933,-2034644.6814826527,-4669997.277258095,3820431.639492499,-2034644.6814826527,-4669997.277258095,5.0,246.45799715216648,36.86950223302933,1,7
Nevada02bbbbab                                                     ,246.126,36.368,246.435,36.86,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,61196.441777689775,-2075125.208353146,-4688529.029648094,3775698.924612954,-2036772.2210765488,-4669760.941981214,3819586.7742095655,246.28050000000002,36.614000000000004,246.28000922998484,36.614105244635724,-2055972.1593181514,-4679198.8160478985,3797687.2411407977,-2055972.1593181514,-4679198.8160478985,5.0,246.28000922998484,36.61410524463572,1,7
Nevada02bbbbb                                                      ,245.884,36.033,246.126,36.368,90.0,100,0,0,0,0,0,0,0,0,10.0,5,4,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,43075.21717742362,-2103893.6181093296,-4699791.600563988,3745656.419970475,-2075125.208353146,-4688529.029648094,3775698.924612954,246.005,36.200500000000005,246.00474223076958,36.20056350939358,-2089521.2138288403,-4694187.075050417,3760699.437991272,-2089521.2138288403,-4694187.075050417,5.0,246.00474223076958,36.20056350939358,1,7
