lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,
244.236,33.834,-0.006,1,"P268_PBO",-1.9,2.868,1.13,1.13,1,0,1,0,0,0,
242.818,33.836,-0.01,16,"P107_PBO",-22.655,24.236,0.574,0.557,1,0,1,0,0,0,
242.691,33.837,-0.063,16,"P243_PBO",-23.408,26.257,0.97,1.07,1,0,1,0,0,0,
242.402,33.847,-0.058,4,"P275_PBO",-25.267,26.788,0.92,0.96,1,0,1,0,0,0,
242.563,33.857,-0.014,16,"WLWY_PBO",-24.054,25.669,0.505,0.512,1,0,1,0,0,0,
242.391,33.858,-0.011,4,"HVWY_PBO",-24.859,25.79,0.2,0.2,1,0,1,0,0,0,
242.135,33.863,-0.042,4,"P247_PBO",-26.296,25.778,1.04,1.07,1,0,1,0,0,0,
243.788,33.866,-0.005,6,"P040_PBO",-9.654,9.558,0.3,0.4,1,0,1,0,0,0,
242.453,33.884,-0.056,16,"MDMT_PBO",-24.609,26.506,0.93,0.96,1,0,1,0,0,0,
244.704,33.887,-0.004,1,"GS03_GPS",-4.55,0.637,0.4,0.4,1,0,1,0,0,0,
241.671,33.887,-0.013,22,"FORE_PBO",-27.654,29.122,0.589,0.596,1,0,1,0,0,0,
243.048,33.893,-0.011,21,"RG21_PBO",-17.756,19.475,0.3,0.3,1,0,1,0,0,0,
242.262,33.914,-0.061,4,"P250_PBO",-25.616,26.334,0.86,0.88,1,0,1,0,0,0,
242.682,33.918,-0.013,16,"P718_PBO",-23.456,24.484,0.2,0.2,1,0,1,0,0,0,
241.693,33.928,0,4,"P118_PBO",-27.628,27.356,0.709,0.712,1,0,1,0,0,0,
243.608,33.935,-0.049,5,"P673_PBO",-10.546,17.902,0.93,0.95,1,0,1,0,0,0,
239.894,33.951,-0.039,3,"RCA2_PBO",-30.864,36.098,0.94,0.93,1,0,1,0,0,0,
241.572,33.958,-0.042,22,"P519_PBO",-27.816,28.301,1.16,1.18,1,0,1,0,0,0,
243.92,33.959,-0.001,6,"RESO_PBO",-6.55,5.455,0.9,1,1,0,1,0,0,0,
241.905,33.962,-0.003,4,"P008_PBO",-28.858,30.001,0.3,0.5,1,0,1,0,0,0,
244.001,33.974,0.033,6,"P217_PBO",-4.757,4.357,1.57,1.7,1,0,1,0,0,0,
242.451,33.975,-0.102,16,"P237_PBO",-24.234,26.006,1.11,1.14,1,0,1,0,0,0,
242.151,33.993,-0.011,4,"P710_PBO",-25.589,25.572,0.545,0.55,1,0,1,0,0,0,
240.247,33.995,-0.057,3,"P139_PBO",-29.811,34.414,0.92,0.92,1,0,1,0,0,0,
244.002,34.001,-0.012,6,"JFWS_PBO",-5.948,5.653,0.3,0.2,1,0,1,0,0,0,
243.048,34.003,-0.025,21,"P236_PBO",-14.933,20.713,1.09,1.1,1,0,1,0,0,0,
239.935,34.004,-0.009,3,"GLRS_PBO",-31.465,35.646,0.2,0.2,1,0,1,0,0,0,
242.861,34.014,-0.058,21,"HCRO_PBO",-17.055,21.21,0.94,0.99,1,0,1,0,0,0,
240.637,34.015,-0.001,3,"YELL_PBO",-30.861,35.831,0.4,1.2,1,0,1,0,0,0,
242.487,34.018,-0.063,16,"P273_PBO",-22.734,24.555,1.02,1.05,1,0,1,0,0,0,
241.974,34.019,-0.005,4,"AHID_PBO",-27.755,25.1,0.3,0.6,1,0,1,0,0,0,
242.896,34.022,-0.054,21,"P674_PBO",-17.684,20.569,1.08,1.11,1,0,1,0,0,0,
241.651,34.024,-0.003,4,"P360_PBO",-27.257,26.607,0.4,0.4,1,0,1,0,0,0,
240.215,34.029,-0.007,3,"P019_PBO",-30.977,35.222,0.579,0.572,1,0,1,0,0,0,
242.557,34.032,-0.061,16,"P180_PBO",-23.122,24.682,0.92,0.93,1,0,1,0,0,0,
239.649,34.038,-0.009,3,"P610_PBO",-31.665,36.453,0.3,0.3,1,0,1,0,0,0,
242.9,34.039,-0.062,21,"P235_PBO",-18.89,19.999,0.83,0.86,1,0,1,0,0,0,
244.773,34.04,0.091,8,"P211_PBO",-0.711,1.039,1.83,1.76,1,0,1,0,0,0,
242.116,34.042,-0.093,4,"P244_PBO",-22.178,24.849,1.4,1.18,1,0,1,0,0,0,
245.519,34.044,-0.031,1,"P218_PBO",-0.91,1.221,1.21,0.99,1,0,1,0,0,0,
241.354,34.059,-0.059,22,"SLID_PBO",-28.523,29.879,0.87,0.9,1,0,1,0,0,0,
242.734,34.063,-0.117,21,"P240_PBO",-21.669,23.495,1.54,1.75,1,0,1,0,0,0,
253.033,34.068,0.006,1,"Z264_GPS",-0.824,-1.161,0.8,0.7,1,0,1,0,0,0,
241.558,34.069,-0.06,22,"P547_PBO",-27.226,27.771,0.86,0.89,1,0,1,0,0,0,
241.767,34.072,-0.004,4,"P458_PBO",-26.954,24.505,0.3,0.3,1,0,1,0,0,0,
242.47,34.077,-0.065,16,"P233_PBO",-23.348,25.685,1.17,1.2,1,0,1,0,0,0,
241.891,34.089,-0.03,4,"P251_PBO",-24.239,24.478,1.19,1.21,1,0,1,0,0,0,
242.647,34.089,-0.046,16,"P672_PBO",-22.069,22.249,0.96,0.99,1,0,1,0,0,0,
