lon,lat,east_vel,north_vel,east_sig,north_sig,correlation,other1,tog,name,up_vel,up_sig,east_adjust,north_adjust,up_adjust
243.299,33.543,-21.691,24.954,0.97,0.99,-0.045,16,true,P306_PBO,0,1,0,0,0
243.265,33.545,-21.87,25.815,1.01,1.06,-0.047,16,true,HOGS_PBO,0,1,0,0,0
243.283,33.55,-21.829,25.884,0.98,1.02,-0.056,16,true,P513_PBO,0,1,0,0,0
243.387,33.55,-19.132,23.64,1.04,1.08,-0.059,16,true,USLO_PBO,0,1,0,0,0
242.339,33.553,-27.57,28.391,0.2,0.2,-0.018,4,true,TSWY_PBO,0,1,0,0,0
243.426,33.553,-18.982,22.159,0.9,0.93,-0.052,21,true,P445_PBO,0,1,0,0,0
242.284,33.554,-28.241,30.663,1.08,0.99,-0.032,4,true,MNMC_PBO,0,1,0,0,0
243.311,33.555,-20.959,25.523,1.15,1.18,-0.054,16,true,P287_PBO,0,1,0,0,0
243.338,33.556,-20.779,24.892,0.89,0.91,-0.058,16,true,P303_PBO,0,1,0,0,0
243.366,33.557,-20.55,24.921,1.05,1.08,-0.055,16,true,P299_PBO,0,1,0,0,0
243.429,33.561,-18.77,20.279,1.44,1.67,-0.022,21,true,P301_PBO,0,1,0,0,0
242.459,33.562,-26.47,26.289,0.5,0.6,-0.002,4,true,LKWY_PBO,0,1,0,0,0
243.442,33.562,-17.12,22.638,1.25,1.33,-0.017,21,true,P289_PBO,0,1,0,0,0
243.421,33.564,-20.039,22.209,1.24,1.27,0,21,true,CRBT_PBO,0,1,0,0,0
243.397,33.565,-19.758,23.49,1.16,1.2,-0.038,21,true,SC00_PBO,0,1,0,0,0
243.404,33.568,-18.738,22.95,1.05,1.08,-0.023,21,true,P290_PBO,0,1,0,0,0
243.483,33.571,-17.989,22.267,1.01,1.05,-0.035,21,true,MEE1_PBO,0,1,0,0,0
243.502,33.571,-16.63,19.896,1.17,1.21,-0.028,21,true,MEE2_PBO,0,1,0,0,0
243.553,33.574,-16.56,18.434,1.12,1.14,-0.06,21,true,P525_PBO,0,1,0,0,0
243.773,33.575,-15.164,14.858,0.4,0.4,0,21,true,P039_PBO,0,1,0,0,0
242.935,33.578,-25.467,25.678,0.2,0.3,-0.009,4,true,P032_PBO,0,1,0,0,0
243.516,33.581,-16.707,19.395,1.02,1.07,-0.051,21,true,P148_PBO,0,1,0,0,0
243.57,33.584,-15.618,19.483,0.96,1,-0.061,21,true,GOBS_PBO,0,1,0,0,0
243.562,33.599,-16.764,21.084,1.17,1.18,-0.037,21,true,P284_PBO,0,1,0,0,0
242.184,33.602,-28.326,30.807,1.24,1.26,-0.072,4,true,P294_PBO,0,1,0,0,0
243.523,33.603,-16.332,20.605,1.18,1.15,-0.022,21,true,P295_PBO,0,1,0,0,0
243.541,33.609,-16.191,18.364,0.95,0.92,-0.073,21,true,P523_PBO,0,1,0,0,0
243.58,33.609,-16.452,21.363,1.65,1.59,-0.039,21,true,P065_PBO,0,1,0,0,0
245.011,33.609,-2.121,0.93,1.79,1.72,0.016,1,true,P428_PBO,0,1,0,0,0
245.285,33.61,-2.868,1.42,0.8,0.81,-0.066,1,true,P228_PBO,0,1,0,0,0
