lon,lat,corr,other1,name,east_vel,north_vel,east_sig,north_sig,flag,up_vel,up_sig,east_adjust,north_adjust,up_adjust,depth,x,y,z,block_label,model_east_vel,model_north_vel,model_east_vel_residual,model_east_vel_rotation,model_north_vel_rotation,model_east_elastic_segment,model_north_elastic_segment,model_east_vel_tde,model_north_vel_tde,model_east_vel_block_strain_rate,model_north_vel_block_strain_rate
133.8750,34.0400,0.0060,0,960674_G,-0.6410,9.4630,2.1600,2.6440,1,0,1,0,0,0,0.0000,-3656981.0610,3803485.8135,3564314.3306,13,-4.8605,5.6879,-3.7751,5.4378,-1.0738,3.0375,1.8384,7.2608,-8.6001,0.0000,0.0000
133.9040,33.5060,0.0110,0,950442_G,-16.5390,14.1810,2.3380,2.3750,1,0,1,0,0,0,0.0000,-3681782.6789,3825403.7288,3514984.2217,13,-12.2482,14.2189,0.0379,7.4127,-0.9864,-0.2911,-0.5907,19.9521,-14.6146,0.0000,0.0000
133.9260,34.1640,0.0030,0,950429_G,5.1550,6.1230,2.3320,2.4390,1,0,1,0,0,0,0.0000,-3655005.2278,3794664.4225,3575725.1246,10,6.1055,4.1546,-1.9684,13.2036,-2.2585,1.5594,1.2526,5.5388,-7.6657,0.0000,0.0000
133.9290,34.7910,0.0010,0,950395_G,8.2170,-4.9260,2.1230,2.4340,1,0,1,0,0,0,0.0000,-3627838.5623,3766065.0294,3633165.7024,10,10.0445,1.6655,6.5915,12.6567,-2.2567,0.3419,0.2527,2.2702,-4.1749,0.0000,0.0000
133.9610,34.9830,-0.0090,0,950393_G,10.8150,0.9710,2.1760,2.1350,1,0,1,0,0,0,0.0000,-3621469.5969,3755253.5448,3650668.4641,10,10.1711,0.9194,-0.0516,12.4882,-2.2378,0.2938,0.1596,2.0232,-3.3168,0.0000,0.0000
133.9990,34.4450,-0.0070,0,960676_G,8.2070,1.3330,3.3280,4.5030,1,0,1,0,0,0,0.0000,-3647611.2457,3777343.9501,3601521.3930,10,9.1859,3.0065,1.6735,12.9571,-2.2154,0.5275,0.6593,3.2437,-5.8812,0.0000,0.0000
134.0070,33.4280,-0.0050,0,950444_G,-19.8970,16.1090,2.3290,2.3530,1,0,1,0,0,0,0.0000,-3691974.6570,3822217.0518,3507753.0418,13,-14.1856,12.8755,-3.2335,7.7004,-0.6762,-0.2163,-0.4811,22.1023,-13.0705,0.0000,0.0000
134.0470,35.4570,0.0000,0,950378_G,13.7080,-0.5190,2.3410,2.6690,1,0,1,0,0,0,0.0000,-3605980.6889,3727977.5776,3693702.4669,5,10.9380,0.7666,1.2856,12.7831,-1.1844,0.1795,0.0668,1.6656,-2.0179,0.0000,0.0000
134.0490,34.0520,0.0060,0,950417_G,1.3370,6.8280,2.3710,2.3880,1,0,1,0,0,0,0.0000,-3667995.7751,3791825.8723,3565419.3315,13,-5.3355,4.8260,-2.0020,5.3920,-0.5496,3.4067,2.2468,7.3207,-7.6224,0.0000,0.0000
134.0500,35.1780,-0.0020,0,960661_G,12.0110,-1.8600,2.5070,2.4540,1,0,1,0,0,0,0.0000,-3618638.7440,3740671.9189,3668402.7447,10,10.2064,0.3460,2.2060,12.3156,-2.1852,0.2544,0.1021,1.8548,-2.6333,0.0000,0.0000
134.0580,33.8780,0.0120,0,950421_G,-2.5870,11.8530,2.5880,2.8710,1,0,1,0,0,0,0.0000,-3676103.8707,3799013.3593,3549381.5361,13,-4.5647,9.6677,-2.1853,6.0356,-0.5225,-0.4390,-2.0184,11.0394,-8.1718,0.0000,0.0000
134.1070,33.6040,-0.0030,0,950440_G,-12.8900,13.8170,2.4240,2.5650,1,0,1,0,0,0,0.0000,-3691123.1834,3808012.6056,3524060.3147,13,-11.0669,11.0944,-2.7226,7.0489,-0.3749,-0.2189,-0.7838,18.3347,-10.6855,0.0000,0.0000
134.1220,33.3160,0.0010,0,940082_G,-24.1760,17.6720,2.5310,2.3280,1,0,1,0,0,0,0.0000,-3704405.4824,3819714.0470,3497358.4436,13,-16.6350,10.8121,-6.8599,8.1140,-0.3297,-0.1603,-0.3566,24.9093,-10.7852,0.0000,0.0000
134.1660,34.6580,0.0020,0,950396_G,8.7410,0.1220,2.0730,2.2870,1,0,1,0,0,0,0.0000,-3649251.7652,3757066.0828,3621017.4627,10,9.6692,1.8968,1.7748,12.7676,-2.1166,0.5214,0.3962,2.5770,-4.4096,0.0000,0.0000
134.1760,34.8100,-0.0030,0,960765_G,10.9740,-0.0040,2.1230,2.3080,1,0,1,0,0,0,0.0000,-3643200.3841,3749526.3099,3634899.5687,10,9.8928,1.3830,1.3870,12.6347,-2.1107,0.4568,0.2473,2.2851,-3.7410,0.0000,0.0000
134.2300,34.0380,0.0060,0,950418_G,0.0080,6.9320,2.4030,2.5320,1,0,1,0,0,0,0.0000,-3680563.5896,3780843.7429,3564130.1486,13,-6.2337,3.9600,-2.9720,5.4433,-0.0044,3.7353,2.9361,7.9418,-6.9005,0.0000,0.0000
134.2350,35.0210,0.0020,0,950391_G,11.4650,-0.0050,2.1640,2.1410,1,0,1,0,0,0,0.0000,-3637696.6526,3736156.4856,3654127.6989,10,10.0308,0.7318,0.7368,12.4490,-2.0758,0.3764,0.1261,2.0418,-2.9337,0.0000,0.0000
134.2370,35.2660,0.0030,0,950380_G,10.9440,-0.2300,2.2960,2.2920,1,0,1,0,0,0,0.0000,-3626893.2264,3724800.5063,3676392.0049,10,10.1463,0.1587,0.3887,12.2346,-2.0746,0.2593,0.0742,1.8290,-2.3075,0.0000,0.0000
134.2420,34.2550,0.0050,0,950426_G,6.6520,4.4240,2.2650,2.3850,1,0,1,0,0,0,0.0000,-3671911.1006,3770375.2853,3584088.5227,10,7.0376,2.5421,-1.8819,13.1176,-2.0716,1.2074,1.3971,4.8726,-6.0108,0.0000,0.0000
134.2810,33.5280,-0.0130,0,950441_G,-16.9880,11.5590,2.7390,2.5470,1,0,1,0,0,0,0.0000,-3705930.9629,3800128.8313,3517022.6080,13,-13.9021,10.1216,-1.4374,7.3298,0.1493,-0.1495,-0.5783,21.3813,-9.3941,0.0000,0.0000
134.3010,33.7900,-0.0010,0,960675_G,-7.8890,8.5420,2.5620,2.8090,1,0,1,0,0,0,0.0000,-3695986.0404,3787285.3697,3541257.9938,13,-7.5093,9.3300,0.7880,6.3608,0.2095,-0.1069,-1.4247,13.9770,-7.6958,0.0000,0.0000
134.3140,34.4720,-0.0030,0,950425_G,9.5920,1.8750,2.4690,2.2920,1,0,1,0,0,0,0.0000,-3667137.0101,3756018.3900,3603995.4862,10,8.7334,2.1225,0.2475,12.9269,-2.0291,0.8103,0.7398,3.3832,-4.8914,0.0000,0.0000
134.3250,35.3610,0.0010,0,960655_G,11.1140,0.3950,2.2930,2.8170,1,0,1,0,0,0,0.0000,-3628345.6124,3714859.7146,3685007.0393,10,10.1273,-0.0105,-0.4055,12.1496,-2.0226,0.2347,0.0586,1.7876,-2.0706,0.0000,0.0000
134.3520,34.0970,-0.0020,0,950415_G,1.4400,7.1100,2.8870,2.4520,1,0,1,0,0,0,0.0000,-3686038.1751,3770371.7807,3569561.6914,13,-5.4080,4.4073,-2.7027,5.2252,0.3632,3.4440,2.2969,7.1892,-6.3411,0.0000,0.0000
134.3720,33.6180,0.0030,0,950424_G,-13.2700,12.3960,2.4260,2.4560,1,0,1,0,0,0,0.0000,-3708093.8824,3790284.4065,3525356.0584,13,-11.8854,9.9468,-2.4492,6.9972,0.4234,-0.1206,-0.7089,19.0032,-8.8145,0.0000,0.0000
134.3890,33.8790,0.0030,0,950420_G,-4.9180,8.3120,2.7600,2.7310,1,0,1,0,0,0,0.0000,-3697946.1217,3777668.8153,3549473.8010,13,-5.6860,9.4631,1.1511,6.0319,0.4746,0.0575,-1.9550,11.6604,-7.0335,0.0000,0.0000
134.3930,34.2180,0.0020,0,970827_G,3.7800,5.1730,2.1810,2.5920,1,0,1,0,0,0,0.0000,-3683453.3655,3762338.1381,3580689.1097,10,5.6627,2.2030,-2.9700,13.1468,-1.9823,1.8970,1.5878,5.5871,-5.7731,0.0000,0.0000
134.4040,34.9980,0.0000,0,950346_G,10.9620,-0.2350,2.1430,2.1470,1,0,1,0,0,0,0.0000,-3649727.0915,3726458.1353,3652034.1434,10,9.8362,0.7678,1.0028,12.4657,-1.9758,0.4795,0.0894,2.1500,-2.8330,0.0000,0.0000
134.5200,34.6700,0.0010,0,950357_G,10.8250,0.8950,2.2100,2.1410,1,0,1,0,0,0,0.0000,-3671863.0411,3733906.9260,3622114.3462,10,8.8422,1.6170,0.7220,12.7501,-1.9072,1.0468,0.2126,2.8611,-3.7368,0.0000,0.0000
134.5330,33.7250,-0.0100,0,950423_G,-9.5450,8.0520,2.3230,2.5400,1,0,1,0,0,0,0.0000,-3714106.1532,3775150.0931,3535252.2850,13,-8.8977,9.8685,1.8165,6.6025,0.9084,-0.0529,-0.8136,15.5531,-8.1465,0.0000,0.0000
134.5450,34.8970,-0.0180,0,950350_G,10.3730,0.0860,2.1360,2.1740,1,0,1,0,0,0,0.0000,-3663396.7155,3722047.5939,3642833.7425,10,9.4452,1.0284,0.9424,12.5513,-1.8924,0.7125,0.0452,2.3936,-2.9659,0.0000,0.0000
134.5500,34.7850,0.0120,0,940071_G,10.5780,0.6060,2.1600,2.1060,1,0,1,0,0,0,0.0000,-3668710.0419,3726795.4002,3632618.0827,10,9.1392,1.3263,0.7203,12.6491,-1.8894,0.9042,0.0850,2.6057,-3.3007,0.0000,0.0000
134.5600,34.0600,0.0020,0,950416_G,0.0290,5.3080,2.3750,2.4530,1,0,1,0,0,0,0.0000,-3701318.0104,3758607.2500,3566155.9119,13,-2.9860,11.2801,5.9721,5.3635,0.9897,0.2465,-4.0411,8.1030,-6.2492,0.0000,0.0000
134.5820,35.4370,-0.0050,0,950341_G,12.2900,0.4020,2.4570,2.5970,1,0,1,0,0,0,0.0000,-3641537.8240,3695062.7692,3691891.7738,5,10.7321,0.7400,0.3380,12.7868,-1.0401,0.2222,0.0374,1.8325,-1.8176,0.0000,0.0000
134.5860,35.0940,-0.0040,0,950344_G,10.0920,0.2450,2.4320,2.2420,1,0,1,0,0,0,0.0000,-3657245.1731,3710482.8199,3660768.5599,10,9.7419,0.5551,0.3101,12.3782,-1.8681,0.4788,0.0079,2.1576,-2.4311,0.0000,0.0000
