name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,length,x1,y1,z1,x2,y2,z2,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels,model_strike_slip_rate,model_dip_slip_rate,model_tensile_slip_rate,model_strike_slip_rate_uncertainty,model_dip_slip_rate_uncertainty,model_tensile_slip_rate_uncertainty
amur5                       ,104.5130,51.6090,108.3620,53.2200,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,317301.3385,-1201002.8447,3618358.3061,5099943.8034,-990956.3276,3828160.4100,4990745.9255,106.4375,52.4145,106.4024,52.4302,-1096321.2090,3724398.8283,5046908.4236,-1096321.2090,3724398.8283,0.0000,106.4024,52.4302,4,5,-4.6900,0.0000,-2.1624,0.7011,0.7011,0.7011
amur6                       ,104.5130,51.6090,107.1250,43.5550,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,916602.9037,-990956.3276,3828160.4100,4990745.9255,-1358794.4815,4409982.8359,4387491.3567,105.8190,47.5820,105.9193,47.5908,-1177867.3324,4129644.2360,4701384.7421,-1177867.3324,4129644.2360,0.0000,105.9193,47.5908,4,5,0.2332,0.0000,-5.3871,0.6511,0.6511,0.6511
amur7                       ,107.1250,43.5550,112.2240,40.5890,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,535175.1133,-1358794.4815,4409982.8359,4387491.3567,-1828891.5836,4476201.4210,4142840.5563,109.6745,42.0720,109.7339,42.1005,-1595221.9093,4446989.7383,4268946.0981,-1595221.9093,4446989.7383,0.0000,109.7339,42.1005,4,5,3.9681,0.0000,-3.9883,0.5004,0.5004,0.5004
amur8                       ,112.2240,40.5890,113.6620,41.3830,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,149726.1383,-1828891.5836,4476201.4210,4142840.5563,-1917419.7649,4375887.2194,4209449.3642,112.9430,40.9860,112.9387,40.9883,-1873285.3296,4426347.1163,4176434.4531,-1873285.3296,4426347.1163,0.0000,112.9387,40.9883,5,4,4.9620,0.0000,2.7531,0.4987,0.4987,0.4987
amur9a                      ,113.6620,41.3830,115.1400,40.9070,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,134868.1006,-1917419.7649,4375887.2194,4209449.3642,-2044436.1890,4356483.9421,4169613.8662,114.4010,41.1450,114.4037,41.1474,-1981037.3070,4366428.6246,4189766.5468,-1981037.3070,4366428.6246,0.0000,114.4037,41.1474,4,5,4.9375,0.0000,-2.7955,0.4502,0.4502,0.4502
amur9b                      ,115.1400,40.9070,117.6450,39.7630,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,1,0,0,1,0,0.0000,1,0,0,1,0,15,5,0,0,0,0,1,0,0,247870.0733,-2044436.1890,4356483.9421,4169613.8662,-2271070.5439,4335859.7017,4072703.1187,116.3925,40.3350,116.4031,40.3418,-2158155.5838,4346989.8610,4121940.6941,-2158155.5838,4346989.8610,0.0000,116.4031,40.3418,4,5,4.6102,0.0000,-3.3600,0.4584,0.4584,0.4584
arc1                        ,139.5790,70.5180,162.3900,86.4210,90.0000,100,0,0,0,0,0,0,0,0,0.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,1813090.4823,-1616706.5162,1376947.1621,6002884.9743,-378858.9119,120253.9073,6355026.0727,150.9845,78.4695,143.1215,78.5889,-1007709.1718,756018.2586,6241579.1335,-1007709.1718,756018.2586,0.0000,143.1215,78.5889,6,2,-61.6858,0.0000,7.0124,59.7650,59.7650,59.7650
arc2                        ,162.3900,86.4210,285.1230,83.2540,90.0000,100,0,0,0,0,0,0,0,0,0.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,1026005.7248,-378858.9119,120253.9073,6355026.0727,195139.7999,-722067.6601,6323360.6741,223.7565,84.8375,253.0226,87.1588,-92158.3085,-301862.7747,6359617.6908,-92158.3085,-301862.7747,0.0000,253.0226,87.1588,2,6,-16.6974,0.0000,-58.8097,117.4322,117.4322,117.4322
arctic1a                    ,144.8800,65.1610,148.9790,63.8890,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,242495.0492,-2187826.7727,1538771.6081,5778403.5349,-2401584.5310,1444215.8499,5717602.9751,146.9295,64.5250,146.9772,64.5393,-2295113.0604,1491761.9200,5749039.3872,-2295113.0604,1491761.9200,7.5000,146.9772,64.5393,7,2,-4.4533,0.0000,-2.0905,0.6534,0.6534,0.6534
arctic1b                    ,148.9790,63.8890,154.0210,61.5750,90.0000,100,0,0,0,0,0,0,0,0,15.0000,5,0,5,0,0,1,0,0.0000,1,0,0,1,0,0,5,0,0,0,0,1,0,0,364487.0721,-2401584.5310,1444215.8499,5717602.9751,-2724690.6526,1327684.4324,5599791.6352,151.5000,62.7320,151.5987,62.7547,-2564165.7020,1386514.1233,5661005.5909,-2564165.7020,1386514.1233,7.5000,151.5987,62.7547,7,2,-4.6145,0.0000,-0.8150,0.6434,0.6434,0.6434
