name,lon1,lat1,lon2,lat2,dip,create_ribbon_mesh,locking_depth,locking_depth_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,mesh_file_name,mesh_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
SierraConnectbabb,237.598000,40.333000,237.760000,40.385000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SierraConnectbb,239.656000,40.313000,240.070000,40.023000,90,0,15,0,-1.7,0.8,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SierraConnectbba,237.760000,40.385000,238.202000,40.483000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
SierraConnectbbb,238.202000,40.483000,238.573000,40.564000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
TestSjfa,244.522000,32.807000,244.720000,32.592000,90,0,5,0,-17.5,8.8,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
TestSjfb,244.720000,32.592000,245.007000,32.136000,90,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure1aaa,162.871000,-57.774000,180.290000,-36.871000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure1aab,162.871000,-57.774000,204.097000,-69.387000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure1ab,204.097000,-69.387000,252.514000,-42.884000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure1b,252.514000,-42.884000,259.341000,1.742000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2a,145.025000,41.058000,163.856000,55.292000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2ba,142.758000,34.025000,145.025000,41.058000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2bba,131.169000,29.806000,142.758000,34.025000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2bbba,124.115000,3.316000,131.169000,29.806000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2bbbba,124.115000,3.316000,164.764000,-7.061000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure2bbbbb,164.764000,-7.061000,180.290000,-36.871000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure3a,163.856000,55.292000,179.964000,50.482000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
Western_closure3b,179.964000,50.482000,191.226000,51.571000,160,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aa,238.074000,37.942000,238.118000,37.920000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aa,239.102000,36.783000,239.162000,36.670000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,237.906000,38.062000,238.001000,38.029000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.001000,38.029000,238.074000,37.942000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.118000,37.920000,238.167000,37.852000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.167000,37.852000,238.208000,37.817000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.208000,37.817000,238.305000,37.720000,90,0,15,0,-3.5,1.7,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.305000,37.720000,238.326000,37.698000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.326000,37.698000,238.368000,37.639000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.368000,37.639000,238.426000,37.557000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.426000,37.557000,238.477000,37.457000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.477000,37.457000,238.512000,37.370000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.512000,37.370000,238.534000,37.298000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.534000,37.298000,238.718000,37.280000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.718000,37.280000,238.746000,37.232000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.746000,37.232000,238.781000,37.185000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.781000,37.185000,238.854000,37.119000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.839000,37.045000,238.854000,37.119000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.839000,37.045000,238.985000,36.920000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.985000,36.920000,239.021000,36.855000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,239.021000,36.855000,239.102000,36.783000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,239.162000,36.670000,239.288000,36.492000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
aaa,238.534000,37.298000,238.546000,37.230000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.177000,33.959000,243.202000,33.951000,90,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,240.942000,34.998000,240.993000,35.029000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,240.594000,34.942000,240.695000,34.932000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.403000,33.854000,242.452000,33.815000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.448000,34.021000,241.459000,34.032000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.716000,34.111000,241.733000,34.115000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.963000,35.016000,243.083000,34.873000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.525000,36.498000,242.592000,36.436000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.451000,33.513000,243.457000,33.471000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,244.423000,32.851000,244.522000,32.807000,90,0,2.5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.959000,32.787000,244.106000,32.653000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.986000,35.271000,242.403000,35.110000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.995000,35.770000,242.105000,35.880000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.987000,34.143000,244.021000,34.116000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.994000,35.605000,243.032000,35.489000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,244.302000,32.886000,244.336000,32.899000,90,0,15,0,-4,2,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,244.446000,32.899000,244.465000,32.872000,90,0,2.5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.525000,34.387000,241.562000,34.335000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.443000,33.972000,241.448000,34.021000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.611000,34.074000,241.616000,34.040000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.103000,35.611000,243.111000,35.607000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.971000,35.298000,241.977000,35.284000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.977000,35.284000,241.986000,35.271000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.493000,34.701000,241.498000,34.699000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.015000,34.161000,242.029000,34.162000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.101000,33.581000,242.117000,33.572000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.946000,37.150000,242.048000,36.925000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,245.344000,31.826000,245.479000,31.655000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,242.868000,32.707000,242.918000,32.580000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.677000,31.527000,244.239000,31.325000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.165000,31.890000,243.361000,31.581000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,241.511000,34.328000,241.562000,34.335000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,243.606000,34.124000,243.712000,34.143000,90,0,15,0,2.8,2.5,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.175000,38.620000,237.231000,38.539000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.967000,37.859000,238.025000,37.888000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,236.987000,38.877000,236.997000,38.855000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.755000,38.164000,237.967000,37.859000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.302000,37.931000,237.326000,37.894000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.300000,37.936000,237.302000,37.931000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.403000,37.810000,237.406000,37.815000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.403000,37.810000,237.510000,37.668000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,236.215000,39.115000,236.502000,38.783000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,236.145000,39.251000,236.215000,39.115000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,236.081000,39.411000,236.145000,39.251000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,236.005000,39.673000,236.081000,39.411000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,235.947000,39.857000,236.005000,39.673000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,235.814000,40.215000,235.947000,39.857000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdf,237.869000,37.733000,237.911000,37.679000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,238.319000,36.949000,238.389000,36.902000,90,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,241.573000,37.793000,241.596000,37.434000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,238.591000,36.868000,238.624000,36.806000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,237.911000,37.679000,237.952000,37.639000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,238.005000,37.580000,238.075000,37.498000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,242.223000,34.082000,242.255000,34.033000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,240.790000,34.864000,240.936000,34.846000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,243.323000,35.163000,243.413000,34.996000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,237.510000,37.668000,237.668000,37.496000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,236.502000,38.783000,236.857000,38.427000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,237.594000,38.053000,237.627000,38.070000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,236.403000,39.995000,236.523000,39.999000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfa,236.048000,40.103000,236.283000,39.991000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaa,238.085000,41.636000,238.505000,41.373000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaaa,237.594000,38.053000,237.640000,37.995000,90,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaaaa,238.785000,45.982000,238.894000,46.485000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaaab,238.731000,45.680000,238.785000,45.982000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaab,237.640000,37.995000,237.658000,37.972000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaab,238.650000,45.260000,238.731000,45.680000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfab,238.505000,41.373000,238.925000,41.109000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfab,238.406000,44.034000,238.650000,45.260000,90,0,15,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfaba,237.658000,37.972000,237.702000,37.932000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfabbaa,237.702000,37.932000,237.717000,37.915000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfabbab,237.717000,37.915000,237.721000,37.908000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfabbba,237.721000,37.908000,237.725000,37.899000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfabbbb,237.725000,37.899000,237.730000,37.893000,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
asdfb,238.389000,36.902000,238.467000,36.841000,90,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,0,-1,1
