,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag
38,atotsugawabaa               ,136.975,36.254,137.097,36.303,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,atotsugawabab               ,137.097,36.303,137.267,36.371,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,atotsugawabba               ,137.267,36.371,137.537,36.466,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,atotsugawabbb               ,137.537,36.466,137.843,36.562,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,aus-pac2                    ,185.84,-15.18,158.7,-59.8,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,beppu-schina                ,129.584,32.324,129.337,31.861,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,beppu1a                     ,131.989,33.424,131.794,33.351,120.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,bsgconn                     ,128.955,32.376,129.818,32.63,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,c-nhonshu1                  ,139.879,36.85,139.899,36.991,135.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,c-nhonshu5ba                ,140.847,40.765,140.765,41.04,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,c-nhonshu5bb                ,140.765,41.04,140.706,41.409,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,cross_eurasia_1             ,69.484,38.742,79.53,70.261,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,cross_tibet_1a              ,69.484,38.742,70.704,36.661,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,cross_tibet_1b              ,70.704,36.661,71.925,34.581,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,e-izu-mp                    ,139.225,35.028,139.1597,35.27697,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,eastern-mtla                ,134.768,34.195,135.052,34.236,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,eastern-mtlba               ,135.052,34.236,135.444,34.304,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,eastern-mtlbbaa             ,135.444,34.304,135.602,34.345,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,eastern-mtlbbaba            ,135.602,34.345,135.693,34.375,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,eastern-mtlbbabb            ,135.693,34.375,135.915,34.503,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,eastern-mtlbbbaaa           ,135.915,34.503,135.997,34.548,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,eastern-mtlbbbaab           ,135.997,34.548,136.107,34.632,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,eastern-mtlbbbab            ,136.107,34.632,136.221,34.696,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,eastern-mtlbbbbaaa          ,136.221,34.696,136.376,34.754,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,eastern-mtlbbbbaab          ,136.376,34.754,136.55,34.794,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,eastern-mtlbbbbab           ,136.55,34.794,136.977,35.013,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,eastern-mtlbbbbbaaa         ,136.977,35.013,137.2,35.203,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,eastern-mtlbbbbbaab         ,137.2,35.203,137.377,35.317,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,eastern-mtlbbbbbab          ,137.377,35.317,137.563,35.415,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,eastern-mtlbbbbbbaa         ,137.563,35.415,137.684,35.449,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,eastern-mtlbbbbbbab         ,137.684,35.449,137.861,35.558,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,eastern-mtlbbbbbbbaa        ,137.861,35.558,137.94,35.646,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,eastern-mtlbbbbbbbab        ,137.94,35.646,138.037,35.76,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,eastern-mtlbbbbbbbb         ,138.037,35.76,138.078,36.015,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,eu_phil_1bbab               ,138.638,35.084,138.594,35.204,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
73,eu_phil_1bbba               ,138.594,35.204,138.547,35.297,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
74,eu_phil_1bbbb               ,138.547,35.297,138.484,35.543,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,eu_phil_2aa                 ,131.826,29.509,132.656,30.391,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
76,eu_phil_2ab                 ,132.656,30.391,132.666,30.6572,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,eu_phil_3a                  ,121.449,22.906,121.776,24.283,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,80.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,eu_phil_3baba               ,122.975,23.434,123.803,23.409,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,eu_phil_3babbaa             ,123.803,23.409,124.26,23.402,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
80,eu_phil_3babbab             ,124.26,23.402,124.717,23.396,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,eu_phil_3babbb              ,124.717,23.396,125.631,23.384,155.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
