,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,Unnamed: 38,centroid_lon,centroid_lat
38,OWLbabaab                                                          ,241.189,45.99,241.455,45.933,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,241.322,45.9615
39,OWLbabab                                                           ,241.455,45.933,241.987,45.819,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,241.721,45.876000000000005
40,OWLbabb                                                            ,241.987,45.819,243.051,45.59,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,242.519,45.7045
41,OWLbba                                                             ,243.051,45.59,244.608,45.127,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,243.8295,45.35850000000001
42,OWLbbb                                                             ,244.608,45.127,245.927,44.722,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,245.26749999999998,44.9245
43,PAC_to_SAF_northern_closure1,191.226,51.571,205.239,54.838,160.0,100000,0,0,0,0,0,0,0,0,35.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,198.23250000000002,53.204499999999996
44,SAF_to_OV_closure1a,205.239,54.838,211.394,57.198,160.0,100000,0,0,0,0,0,0,0,0,35.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,208.31650000000002,56.018
45,SAF_to_OV_closure1ba,211.394,57.198,215.06,59.649,160.0,100000,0,0,0,0,0,0,0,0,35.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,213.227,58.423500000000004
46,SAF_to_OV_closure1bb,215.06,59.649,220.823,60.284,160.0,100000,0,0,0,0,0,0,0,0,35.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,217.94150000000002,59.966499999999996
47,SAF_to_PAC_southern_closure1,259.341,1.742,260.639,5.079,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,259.99,3.4105
48,SierraConnectba                                                    ,239.241,40.603,239.656,40.313,90.0,100,0,0,0,0,0,0,0,0,10.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,239.44850000000002,40.458
49,SierraConnectbaaa                                                  ,236.523,39.999,236.685,40.053,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,236.60399999999998,40.025999999999996
50,SierraConnectbaab                                                  ,236.685,40.053,237.178,40.201,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,236.9315,40.126999999999995
51,SierraConnectbaba                                                  ,237.178,40.201,237.598,40.333,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.388,40.266999999999996
52,SierraConnectbabb                                                  ,237.598,40.333,237.76,40.385,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.679,40.358999999999995
53,SierraConnectbb                                                    ,239.656,40.313,240.07,40.023,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,-1.7,0.8,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,239.863,40.168000000000006
54,SierraConnectbba                                                   ,237.76,40.385,238.202,40.483,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.981,40.434
55,SierraConnectbbb                                                   ,238.202,40.483,238.573,40.564,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.3875,40.5235
56,TestSjfa                                                           ,244.522,32.807,244.72,32.592,90.0,100,0,0,0,0,0,0,0,0,5.0,5,0,1,0,-17.5,8.8,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.62099999999998,32.6995
57,TestSjfb                                                           ,244.72,32.592,245.007,32.136,90.0,100,0,0,0,0,0,0,0,0,5.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,244.8635,32.364000000000004
58,Western_closure1aaa,162.871,-57.774,180.29,-36.871,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,171.5805,-47.322500000000005
59,Western_closure1aab,162.871,-57.774,204.097,-69.387,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,183.484,-63.5805
60,Western_closure1ab,204.097,-69.387,252.514,-42.884,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,228.3055,-56.1355
61,Western_closure1b,252.514,-42.884,259.341,1.742,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,255.9275,-20.571
62,Western_closure2a,145.025,41.058,163.856,55.292,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,154.4405,48.175
63,Western_closure2ba,142.758,34.025,145.025,41.058,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,143.8915,37.5415
64,Western_closure2bba,131.169,29.806,142.758,34.025,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,136.9635,31.9155
65,Western_closure2bbba,124.115,3.316,131.169,29.806,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,127.642,16.561
66,Western_closure2bbbba,124.115,3.316,164.764,-7.061,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,144.4395,-1.8725
67,Western_closure2bbbbb,164.764,-7.061,180.29,-36.871,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,172.527,-21.966
68,Western_closure3a,163.856,55.292,179.964,50.482,90.0,100000,0,0,0,0,0,0,0,0,15.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,171.91,52.887
69,Western_closure3b,179.964,50.482,191.226,51.571,160.0,100000,0,0,0,0,0,0,0,0,35.0,5,0,5,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,185.595,51.0265
70,aa                                                                 ,238.074,37.942,238.118,37.92,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.096,37.931
71,aa                                                                 ,239.102,36.783,239.162,36.67,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,239.132,36.7265
72,aaa                                                                ,237.906,38.062,238.001,38.029,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,237.95350000000002,38.045500000000004
73,aaa                                                                ,238.001,38.029,238.074,37.942,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.03750000000002,37.9855
74,aaa                                                                ,238.118,37.92,238.167,37.852,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.14249999999998,37.885999999999996
75,aaa                                                                ,238.167,37.852,238.208,37.817,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.1875,37.8345
76,aaa                                                                ,238.208,37.817,238.305,37.72,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,-3.5,1.7,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.25650000000002,37.7685
77,aaa                                                                ,238.305,37.72,238.326,37.698,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.3155,37.709
78,aaa                                                                ,238.326,37.698,238.368,37.639,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.34699999999998,37.6685
79,aaa                                                                ,238.368,37.639,238.426,37.557,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.397,37.598
80,aaa                                                                ,238.426,37.557,238.477,37.457,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.4515,37.507000000000005
81,aaa                                                                ,238.477,37.457,238.512,37.37,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.49450000000002,37.4135
82,aaa                                                                ,238.512,37.37,238.534,37.298,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.523,37.334
83,aaa                                                                ,238.534,37.298,238.718,37.28,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,5,0,0,0,-1,0,0,0,,238.62599999999998,37.289
