,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag
44,2sw_hokka                                                           ,140.401,42.526,140.272,42.795,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,1.0,1.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
45,2sw_hokkba                                                          ,140.272,42.795,140.076,43.273,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,1.0,1.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
46,ALB_close                                                           ,48.836,36.983,49.505,36.736,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
47,ALB_close2                                                          ,56.6,37.469,56.743,37.368,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
48,ALPC_fault_1                                                        ,168.865,-44.0,169.465,-43.717,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-26.5,8.1,0,0.9,1.1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
49,ALPC_fault_2                                                        ,169.465,-43.717,169.907,-43.53,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-27.0,7.5,0,5.8,3.7,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
50,ALPC_fault_3                                                        ,169.907,-43.53,170.349,-43.3,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-28.0,9.0,0,5.5,1.5,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
51,ALPC_fault_4                                                        ,170.349,-43.3,170.768,-43.097,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-29.0,6.0,0,5.5,2.5,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
52,ALPC_fault_5                                                        ,170.768,-43.097,171.145,-42.893,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
53,ALPC_fault_6                                                        ,171.145,-42.893,171.742,-42.593,55.0,100,0,0,0,0,0,0,0,0,25.0,5,0,1,0,-10.2,3.6,0,5.9,1.5,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
