,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max,x1,y1,z1,x2,y2,z2,length,azimuth,mid_lon_plate_carree,mid_lat_plate_carree,mid_lon,mid_lat,mid_x,mid_y,mid_z,centroid_x,centroid_y,centroid_z,centroid_lon,centroid_lat,west_labels,east_labels
10,amur1,124.863,57.131,139.85,54.025,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2859040.527267297,2411802.9785107058,5153003.504540729,-1975356.7889114819,2835507.9896668526,5348103.538503698,1003982.8141027435,103.79156937990913,132.35649999999998,55.578,132.65402596563618,55.80712274122692,-2424602.1232642783,2631750.091898063,5266834.671714682,-2424602.1232642783,2631750.091898063,7.5,132.65402596563618,55.80712274122692,5,4
11,amur10a,117.645,39.763,120.971,41.129,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2271070.5439003785,4335859.701693449,4072703.118737954,-2468120.767051406,4112356.096446447,4188228.5845913817,320317.3188407856,60.66666322498732,119.30799999999999,40.446,119.2911611761944,40.45800275629393,-2370343.892379711,4225430.372884612,4131774.3715359666,-2370343.892379711,4225430.372884612,7.5,119.2911611761944,40.45800275629392,5,4
12,amur10b,120.971,41.129,122.696,42.178,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2468120.767051406,4112356.096446447,4188228.5845913817,-2548940.8547288626,3970993.1970729018,4275332.151940226,184982.59918265635,50.39293128619627,121.8335,41.653499999999994,121.82650241051175,41.656759854780645,-2508795.046373714,4042096.231050448,4232228.36526309,-2508795.046373714,4042096.231050448,7.5,121.82650241051175,41.65675985478064,5,4
13,amur11,122.696,42.178,125.037,40.144,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2548940.8547288626,3970993.1970729018,4275332.151940226,-2794425.169958884,3985372.6339010578,4105160.7033064878,299357.90514302783,138.20708874828185,123.8665,41.161,123.88459872383953,41.167036241716616,-2672410.529994891,3979276.568762477,4191411.6249766457,-2672410.529994891,3979276.568762477,7.5,123.88459872383953,41.16703624171661,4,5
14,amur12a,125.037,40.144,126.022,36.84,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2794425.169958884,3985372.6339010578,4105160.7033064878,-2996906.2186410353,4121558.593438152,3817808.1852086047,376688.22186341404,166.5046023858449,125.52950000000001,38.492000000000004,125.54074913173132,38.49326844057609,-2896922.426509406,4055231.7746824645,3963242.002440878,-2896922.426509406,4055231.7746824645,7.5,125.54074913173132,38.49326844057609,4,5
15,amur12b,126.022,36.84,126.265,34.247,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2996906.2186410353,4121558.593438152,3817808.1852086047,-3113441.166672687,4243867.604709413,3583353.6410581665,288537.24438690225,175.5490916550665,126.1435,35.5435,126.14545584545802,35.54370082816642,-3055954.617641002,4183783.5680995053,3701546.689120404,-3055954.617641002,4183783.5680995053,7.5,126.14545584545802,35.54370082816642,4,5
16,amur2,119.5,57.362,124.863,57.131,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1975356.7889114819,2835507.9896668526,5348103.538503698,-1691056.42781308,2988932.117288698,5361992.579042904,324698.5628103932,92.28403319720407,122.1815,57.2465,122.18989228742034,57.275111924033375,-1833794.1462802792,2913155.279028336,5356778.585199927,-1833794.1462802792,2913155.279028336,7.5,122.18989228742034,57.275111924033375,5,4
17,amur3,110.287,56.096,119.5,57.362,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1691056.42781308,2988932.117288698,5361992.579042904,-1231483.282183406,3331454.728294912,5284809.341929307,580809.6796690251,72.14026898263809,114.8935,56.729,114.81592485114558,56.814153660973986,-1462779.8089286268,3163436.121959344,5328911.576897535,-1462779.8089286268,3163436.121959344,7.5,114.81592485114558,56.814153660973986,4,5
18,amur4a,108.912,54.83,110.287,56.096,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1231483.282183406,3331454.728294912,5284809.341929307,-1188750.8621822323,3469685.6871500667,5205046.021080503,165614.46223384285,31.113440723341082,109.5995,55.462999999999994,109.58848668739229,55.46496296650659,-1210219.1985263634,3400852.713408184,5245371.4620359745,-1210219.1985263634,3400852.713408184,7.5,109.58848668739229,55.46496296650659,4,5
19,amur4b,108.362,53.22,108.912,54.83,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1188750.8621822323,3469685.6871500667,5205046.021080503,-1201002.8446608358,3618358.3060695906,5099943.8033700725,182789.33425804466,11.150713775664585,108.637,54.025,108.63168911164773,54.02536857522651,-1194998.7297829837,3544380.961455228,5153027.566141072,-1194998.7297829837,3544380.961455228,7.5,108.63168911164773,54.0253685752265,4,5
20,amur5,104.513,51.609,108.362,53.22,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1201002.8446608358,3618358.3060695906,5099943.8033700725,-990956.3276276232,3828160.41002363,4990745.925548756,317301.3384608909,54.09407257168947,106.4375,52.414500000000004,106.40242124362378,52.43021314861582,-1096321.208950764,3724398.8283367627,5046908.423560656,-1096321.208950764,3724398.8283367627,7.5,106.40242124362378,52.43021314861582,4,5
21,amur6,104.513,51.609,107.125,43.555,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-990956.3276276232,3828160.41002363,4990745.925548756,-1358794.4815157244,4409982.835921362,4387491.3567322735,916602.9036884363,166.64551740851573,105.819,47.582,105.91934030764713,47.59080949130028,-1177867.3323580879,4129644.2360092164,4701384.742060418,-1177867.3323580879,4129644.2360092164,7.5,105.91934030764713,47.59080949130027,4,5
22,amur7,107.125,43.555,112.224,40.589,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1358794.4815157244,4409982.835921362,4387491.3567322735,-1828891.583627373,4476201.42103422,4142840.5563317547,535175.1133145855,126.24893151869418,109.6745,42.072,109.73389981076129,42.10050577797358,-1595221.9093208385,4446989.738348901,4268946.098109153,-1595221.9093208385,4446989.738348901,7.5,109.73389981076129,42.10050577797358,4,5
23,amur8,112.224,40.589,113.662,41.383,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1828891.583627373,4476201.42103422,4142840.5563317547,-1917419.764948358,4375887.2193504255,4209449.36423162,149726.13831422888,53.45072313220935,112.94300000000001,40.986000000000004,112.93868768177924,40.9882558453779,-1873285.3296234692,4426347.116292196,4176434.4531463985,-1873285.3296234692,4426347.116292196,7.5,112.93868768177924,40.9882558453779,5,4
24,amur9a,113.662,41.383,115.14,40.907,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1917419.764948358,4375887.2193504255,4209449.36423162,-2044436.1889639478,4356483.942105996,4169613.866168686,134868.10057462088,112.5886483614552,114.40100000000001,41.144999999999996,114.40367208862817,41.14737536608898,-1981037.306967752,4366428.624565842,4189766.5467771627,-1981037.306967752,4366428.624565842,7.5,114.40367208862817,41.14737536608899,4,5
25,amur9b,115.14,40.907,117.645,39.763,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2044436.1889639478,4356483.942105996,4169613.866168686,-2271070.5439003785,4335859.701693449,4072703.118737954,247870.07328471198,120.01244401053003,116.3925,40.334999999999994,116.40307798729401,40.341809445817894,-2158155.5838002246,4346989.8610209925,4121940.694116258,-2158155.5838002246,4346989.8610209925,7.5,116.40307798729401,40.341809445817894,4,5
26,arc1,140.4,68.4,162.39,86.421,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-1806092.8390266465,1494129.9375485263,5920300.317387364,-378858.91193997767,120253.90729336732,6355026.072656456,2046023.8633838,4.265139665285289,151.39499999999998,77.41050000000001,143.5418015770564,77.52403411020138,-1106349.5757806934,817407.1729113981,6217088.353189288,-1106349.5757806934,817407.1729113981,0.0,143.5418015770564,77.52403411020138,6,2
27,arc2,162.39,86.421,285.123,83.254,90.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-378858.91193997767,120253.90729336732,6355026.072656456,195139.79986775652,-722067.6601084375,6323360.674060283,1026005.7248090259,38.2403136067861,223.7565,84.8375,253.02263845137213,87.15883621266431,-92158.30852356073,-301862.7747171905,6359617.69078371,-92158.30852356073,-301862.7747171905,0.0,253.02263845137213,87.15883621266431,2,6
28,arctic1a,144.88,65.161,148.979,63.889,90.0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,1,0,-1,1,0,-1,1,-2187826.772695912,1538771.6080727882,5778403.534920617,-2401584.5309994235,1444215.8499080732,5717602.975098708,242495.0492414672,123.91307839766333,146.92950000000002,64.525,146.97721297019714,64.53927124481672,-2295113.060356291,1491761.9200157404,5749039.387210001,-2295113.060356291,1491761.9200157404,7.5,146.97721297019714,64.53927124481672,7,2
