name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,create_ribbon_mesh,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag
Aktug13_bk2_edit,37.993000,39.576000,39.267349,39.871929,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Aktug13_bk3_4,32.990000,35.999000,33.198560,36.505738,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Aktug13_bk3_5_a_a_a_a,33.198560,36.505738,33.295525,36.528242,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Aktug_3Naa_a_a_a,27.556795,39.159251,27.645768,39.152303,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Aktug_3Nab_a_a_a_a_a_a,28.492840,39.186192,28.508415,39.181583,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Aktug_3Nbb_a_a,29.926326,39.009351,30.225259,38.903158,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Aktug_3n_connect_a_a_a_a,26.988893,38.832540,27.033279,38.837391,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Anatolia_Vernant14_1a,30.439436,37.840777,30.577316,38.059398,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Anatolia_close_a_a_a_a_a,30.439436,37.840777,30.389311,37.802963,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Anatolia_connect,24.786000,38.874000,25.448000,39.351000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Anatolia_connect2,25.251000,38.363000,25.043000,38.256000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
ApuliaEast_Vernant14_1,20.059000,39.269000,19.636000,39.643000,135,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
ApuliaEast_Vernant14_2,19.636000,39.643000,19.528000,39.823000,135,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Apulia_connecta,20.059000,39.269000,20.342000,38.997000,135,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Apulia_connectb,20.342000,38.997000,20.540000,38.810000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Battaglia04_Epiro_1a,19.051000,41.768000,18.901000,40.565000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Battaglia04_Epiro_4a,20.262000,39.510000,20.224000,39.952000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Battaglia04_Epiro_4b,20.224000,39.952000,20.180000,40.557000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Battaglia04_SAd_1a,18.968000,41.955000,18.769000,42.321000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Battaglia_Epiro_closea,20.180000,40.557000,19.933000,41.275000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Battaglia_SAd_close,18.968000,41.955000,19.051000,41.768000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Cyprus_arc_close,30.864683,37.667433,30.577316,38.059398,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Djamour_2010-CIBaaa,44.934000,37.025000,45.347000,36.447000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Djamour_2010-CIBaab,45.347000,36.447000,46.443000,35.094000,150,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Djamour_2011_TurkishIranianPlateau_3,44.572000,37.948000,44.737000,37.539000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Djamour_2011_TurkishIranianPlateau_4,44.737000,37.539000,44.934000,37.025000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
EAF_connect_a_a_a_a,40.950666,39.169503,40.970834,39.180341,90,100,0,0,0,0,0,0,0,2,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,2,0,0
Evia_Vernant14_1,24.148000,38.129000,24.506000,37.887000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Evia_Vernant14_2,24.506000,37.887000,25.043000,38.256000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Evia_Vernant14_3,25.043000,38.256000,24.786000,38.874000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Evia_Vernant14_4,23.941000,39.378000,24.786000,38.874000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Evia_Vernant14_5,23.941000,39.378000,23.815000,39.243000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Evia_Vernant14_6,23.815000,39.243000,23.454000,39.284000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Evia_conn,24.148000,38.129000,23.807000,38.389000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Evia_connect,23.454000,39.284000,22.828000,38.815000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Ionian_Vernant14_1,20.540000,38.810000,21.166000,38.316000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Ionian_Vernant14_2,21.166000,38.316000,21.348000,38.001000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Ionian_Vernant14_3,21.348000,38.001000,21.205000,37.916000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Ionian_Vernant14_4,21.205000,37.916000,21.222000,37.075000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Ionian_connect,20.540000,38.810000,20.193000,38.429000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Isparta_Vernant14_1,28.366000,36.367000,28.214000,36.099000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Isparta_Vernant14_2,28.214000,36.099000,27.986000,35.622000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karp_connect2,21.501000,38.985000,21.011000,39.091000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,2,1,0,0,1,0,15,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_3,23.807000,38.389000,23.503000,38.573000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_4,23.503000,38.573000,23.306000,38.688000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_5,23.306000,38.688000,22.828000,38.815000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_6,22.828000,38.815000,22.457000,38.843000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_7,22.457000,38.843000,22.261000,38.928000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
Karpenissi_Vernant14_8,22.261000,38.928000,21.501000,38.985000,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0
