,Unnamed: 0,name,lon1,lat1,lon2,lat2,dip,res,other3,other6,other7,other8,other9,other10,other11,other12,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,centroid_lon,centroid_lat
37,37,1966                                                                ,41.07,39.352,41.166,39.324,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,41.117999999999995,39.337999999999994
38,38,1966                                                                ,41.166,39.324,41.55,39.113,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,41.358,39.2185
39,39,1967                                                                ,30.476,40.632,30.767,40.555,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,30.621499999999997,40.5935
40,40,1967                                                                ,30.767,40.555,30.907,40.567,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,30.837,40.561
41,41,1967                                                                ,30.907,40.567,31.185,40.588,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,31.046,40.5775
42,42,1967                                                                ,30.147,40.683,30.311,40.657,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,30.229,40.67
43,43,1967                                                                ,30.311,40.657,30.476,40.632,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,30.3935,40.644499999999994
44,44,2sw_hokka                                                           ,140.401,42.526,140.272,42.795,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,1.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,140.3365,42.6605
45,45,2sw_hokkba                                                          ,140.272,42.795,140.076,43.273,45.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,1.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,140.17399999999998,43.034000000000006
46,46,ALB_close                                                           ,48.836,36.983,49.505,36.736,90.0,100,0,0,0,0,0,0,0,0,15.0,5,0,1,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0,0,0,0,0,-1,0,0,0,49.170500000000004,36.8595
