name,lon1,lat1,lon2,lat2,dip,create_ribbon_mesh,locking_depth,locking_depth_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,mesh_file_index,mesh_flag,ss_rate_bound_flag,ss_rate_bound_min,ss_rate_bound_max,ds_rate_bound_flag,ds_rate_bound_min,ds_rate_bound_max,ts_rate_bound_flag,ts_rate_bound_min,ts_rate_bound_max
n_ridge_1aba,131.109000,33.102000,130.917000,32.959000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_1abb,130.917000,32.959000,130.829000,32.908000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2a,121.776000,24.283000,121.917000,24.812000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2baaaaa,121.917000,24.812000,122.486000,24.909000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2baaaab,122.486000,24.909000,123.194000,24.854000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2baaab,123.194000,24.854000,123.717000,24.895000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2baab,123.717000,24.895000,123.785000,24.909000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2bab,123.785000,24.909000,124.686000,25.143000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_2bb,124.686000,25.143000,124.671000,25.473000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaaaaaa,124.671000,25.473000,125.732000,25.652000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaaaaab,125.732000,25.652000,125.640000,25.914000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaaaaba,125.640000,25.914000,126.101000,26.135000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaaaabb,126.101000,26.135000,126.363000,26.369000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaaab,126.363000,26.369000,126.439000,26.520000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aaab,126.439000,26.520000,126.809000,26.823000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aabaa,126.809000,26.823000,126.752000,26.972000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aababa,126.752000,26.972000,126.885000,27.154000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aababb,126.885000,27.154000,127.408000,27.484000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
n_ridge_3aabb,127.408000,27.484000,127.325000,27.643000,90,0,5,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
na-e,285.123000,83.254000,268.640000,12.880000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neodaniaaa,137.200000,35.203000,137.158000,35.270000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neodaniaab,137.158000,35.270000,136.890000,35.428000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neodaniaba,136.890000,35.428000,136.713000,35.520000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neodaniabb,136.713000,35.520000,136.550000,35.726000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neodanib,136.550000,35.726000,136.375000,35.886000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
neryu,130.000000,26.986000,128.531000,28.366000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nktz2,136.898000,36.211000,136.375000,35.886000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nktz3,136.375000,35.886000,136.133000,35.711000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nnktzaa,138.334000,36.727000,138.226000,36.671000,135,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nnktzab,138.226000,36.671000,138.121000,36.611000,135,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nnktzb,138.121000,36.611000,137.843000,36.562000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nw-izua,138.974000,35.377000,138.834000,35.354000,135,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nw-izub,138.834000,35.354000,138.547000,35.297000,135,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
nwhonshu-sojaa,141.276000,46.920000,140.425000,46.024000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
ok_eu_1,144.880000,65.161000,142.201000,68.038000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
ok_eu_2ab,142.376000,54.096000,141.439000,56.281000,90,0,15,0,0,1,0,0,1,0,0,1,0,-1,0,0,-1,1,0,-1,1,0,-1,1
